Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1017,BA1026,VBIBacAnt69550_1017,PATRIC.198094.11.NC_003997.CDS.1015509.1016999.fwd,PATRIC,CDS,1015509,1016999,1491,+,FIG00075702,PLF_1386_00000079,PGF_00008537,NP_843527.1,496,glpK,Glycerol kinase (EC 2.7.1.30),GO:0004370|glycerol kinase activity
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.88,BA0091,VBIBacAnt69550_0088,PATRIC.198094.11.NC_003997.CDS.101663.102406.fwd,PATRIC,CDS,101663,102406,744,+,FIG01306479,PLF_1386_00005762,PGF_08582746,NP_842659.1,247,,23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1018,BA1027,VBIBacAnt69550_1018,PATRIC.198094.11.NC_003997.CDS.1017133.1018815.fwd,PATRIC,CDS,1017133,1018815,1683,+,FIG00043723,PLF_1386_00000064,PGF_00036543,NP_843528.1,560,glpD,Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1019,BA1028,VBIBacAnt69550_1019,PATRIC.198094.11.NC_003997.CDS.1019013.1019177.rev,PATRIC,CDS,1019013,1019177,165,-,FIG01225926,PLF_1386_00004298,PGF_00272254,NP_843529.1,54,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1020,BA1030,VBIBacAnt69550_1020,PATRIC.198094.11.NC_003997.CDS.1019625.1020035.fwd,PATRIC,CDS,1019625,1020035,411,+,FIG01313560,PLF_1386_00007743,PGF_00000428,NP_843530.1,136,,A2-5a orf4,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1021,BA1032,VBIBacAnt69550_1021,PATRIC.198094.11.NC_003997.CDS.1020290.1020823.fwd,PATRIC,CDS,1020290,1020823,534,+,FIG00952839,PLF_1386_00002508,PGF_00896280,NP_843532.1,177,,RNA polymerase ECF-type sigma factor,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1022,BA1033,VBIBacAnt69550_1022,PATRIC.198094.11.NC_003997.CDS.1020828.1021235.fwd,PATRIC,CDS,1020828,1021235,408,+,FIG00002474,PLF_1386_00003899,PGF_00059742,NP_843533.1,135,lstR,"Transcriptional regulator, PadR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1023,BA1034,VBIBacAnt69550_1023,PATRIC.198094.11.NC_003997.CDS.1021243.1022493.fwd,PATRIC,CDS,1021243,1022493,1251,+,FIG00000025,PLF_1386_00369550,PGF_01126005,NP_843534.1,416,,Rod shape-determining protein RodA,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1024,BA1035,VBIBacAnt69550_1024,PATRIC.198094.11.NC_003997.CDS.1022551.1023036.rev,PATRIC,CDS,1022551,1023036,486,-,FIG00554610,PLF_1386_00007793,PGF_10423881,NP_843535.1,161,,"Transcriptional regulator, MarR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1025,BA1036,VBIBacAnt69550_1025,PATRIC.198094.11.NC_003997.CDS.1023321.1023686.fwd,PATRIC,CDS,1023321,1023686,366,+,FIG01225352,PLF_1386_00007773,PGF_08225224,NP_843536.1,121,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1026,BA1037,VBIBacAnt69550_1026,PATRIC.198094.11.NC_003997.CDS.1023848.1025239.fwd,PATRIC,CDS,1023848,1025239,1392,+,FIG01313819,PLF_1386_00007649,PGF_09996723,NP_843537.1,463,,Uncharacterized MFS-type transporter,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.89,BA0092,VBIBacAnt69550_0089,PATRIC.198094.11.NC_003997.CDS.102410.102922.fwd,PATRIC,CDS,102410,102922,513,+,FIG00001549,PLF_1386_00002489,PGF_01752285,NP_842660.1,170,,"Uncharacterized protein YacP, similar to C-terminal domain of ribosome protection-type Tc-resistance proteins",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1027,BA1038,VBIBacAnt69550_1027,PATRIC.198094.11.NC_003997.CDS.1025262.1026710.fwd,PATRIC,CDS,1025262,1026710,1449,+,FIG01265370,PLF_1386_00293605,PGF_09996723,NP_843538.1,482,,Uncharacterized MFS-type transporter,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1028,BA1039,VBIBacAnt69550_1028,PATRIC.198094.11.NC_003997.CDS.1026879.1027442.rev,PATRIC,CDS,1026879,1027442,564,-,FIG01225649,PLF_1386_00005317,PGF_00170993,NP_843539.1,187,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1029,BA1040,VBIBacAnt69550_1029,PATRIC.198094.11.NC_003997.CDS.1027530.1029860.rev,PATRIC,CDS,1027530,1029860,2331,-,FIG01329645,PLF_1386_00001570,PGF_00072105,NP_843540.1,776,,ATP-dependent DNA helicase IV (EC 3.6.4.12),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.90,BA0093,VBIBacAnt69550_0090,PATRIC.198094.11.NC_003997.CDS.102990.103646.fwd,PATRIC,CDS,102990,103646,657,+,FIG00002561,PLF_1386_00000072,PGF_00046555,NP_842661.1,218,sigH,RNA polymerase sporulation specific sigma factor SigH,GO:0003677|DNA binding;GO:0003700|transcription factor activity;GO:0006352|transcription initiation;GO:0016987|sigma factor activity
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1030,BA1041,VBIBacAnt69550_1030,PATRIC.198094.11.NC_003997.CDS.1030238.1031101.rev,PATRIC,CDS,1030238,1031101,864,-,FIG00148852,PLF_1386_00002358,PGF_00826128,NP_843541.1,287,prsA,Foldase protein PrsA precursor (EC 5.2.1.8) @ Foldase clustered with pyrimidine conversion,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1031,,VBIBacAnt69550_1031,PATRIC.198094.11.NC_003997.CDS.1031390.1031539.fwd,PATRIC,CDS,1031390,1031539,150,+,FIG01233385,PLF_1386_00007932,PGF_08182272,,49,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1032,BA1043,VBIBacAnt69550_1032,PATRIC.198094.11.NC_003997.CDS.1031527.1031721.rev,PATRIC,CDS,1031527,1031721,195,-,FIG01227216,PLF_1386_00540396,PGF_01931038,NP_843542.1,64,,Uncharacterized protein BA1043,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1033,BA1044,VBIBacAnt69550_1033,PATRIC.198094.11.NC_003997.CDS.1031840.1032175.fwd,PATRIC,CDS,1031840,1032175,336,+,FIG01226171,PLF_1386_00002710,PGF_00218306,NP_843543.1,111,,Uncharacterized protein YhaI,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1034,BA1045,VBIBacAnt69550_1034,PATRIC.198094.11.NC_003997.CDS.1032181.1032738.rev,PATRIC,CDS,1032181,1032738,558,-,FIG00013364,PLF_1386_00000152,PGF_00037852,NP_843544.1,185,hpr,Protease production regulatory protein Hpr (ScoC),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1035,BA1046,VBIBacAnt69550_1035,PATRIC.198094.11.NC_003997.CDS.1033037.1033399.rev,PATRIC,CDS,1033037,1033399,363,-,FIG00009245,PLF_1386_00002849,PGF_00013195,NP_843545.1,120,,Uncharacterized membrane protein YhaH,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1036,BA1047,VBIBacAnt69550_1036,PATRIC.198094.11.NC_003997.CDS.1033577.1034011.rev,PATRIC,CDS,1033577,1034011,435,-,FIG00229695,PLF_1386_00000392,PGF_00011953,NP_843546.1,144,,"Histidine triad (HIT) nucleotide-binding protein, similarity with At5g48545 and yeast YDL125C (HNT1)",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1037,BA1048,VBIBacAnt69550_1037,PATRIC.198094.11.NC_003997.CDS.1034571.1035314.fwd,PATRIC,CDS,1034571,1035314,744,+,FIG00005968,PLF_1386_00050629,PGF_05377575,NP_843547.1,247,ecsA,"ABC transporter, ATP-binding protein EcsA",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1038,BA1049,VBIBacAnt69550_1038,PATRIC.198094.11.NC_003997.CDS.1035307.1036518.fwd,PATRIC,CDS,1035307,1036518,1212,+,FIG00009036,PLF_1386_00002732,PGF_10556008,NP_843548.1,403,ecsB,"ABC transporter, permease protein EscB",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1039,BA1050,VBIBacAnt69550_1039,PATRIC.198094.11.NC_003997.CDS.1036532.1037239.fwd,PATRIC,CDS,1036532,1037239,708,+,FIG00012359,PLF_1386_00001372,PGF_00424065,NP_843549.1,235,ecsC,EcsC protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1040,BA1051,VBIBacAnt69550_1040,PATRIC.198094.11.NC_003997.CDS.1037280.1037423.rev,PATRIC,CDS,1037280,1037423,144,-,FIG00638284,PLF_1386_00005097,PGF_00812808,NP_843550.1,47,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1041,BA1052,VBIBacAnt69550_1041,PATRIC.198094.11.NC_003997.CDS.1037579.1038160.fwd,PATRIC,CDS,1037579,1038160,582,+,FIG00554417,PLF_1386_00003320,PGF_07182652,NP_843551.1,193,,"Transcriptional regulator, AcrR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.91,BA0094,VBIBacAnt69550_0091,PATRIC.198094.11.NC_003997.CDS.103778.103924.fwd,PATRIC,CDS,103778,103924,147,+,FIG01956152,PLF_1386_00006820,PGF_06609275,NP_842662.1,48,rpmG,"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-dependent",GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1042,BA1053,VBIBacAnt69550_1042,PATRIC.198094.11.NC_003997.CDS.1038163.1038330.fwd,PATRIC,CDS,1038163,1038330,168,+,FIG01227671,PLF_1386_00003673,PGF_08225224,NP_843552.1,55,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1043,BA1054,VBIBacAnt69550_1043,PATRIC.198094.11.NC_003997.CDS.1038410.1038886.fwd,PATRIC,CDS,1038410,1038886,477,+,FIG00001940,PLF_1386_00002403,PGF_08011026,NP_843553.1,158,,"transmembrane protein, distant homology with ydbS",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1044,,VBIBacAnt69550_1044,PATRIC.198094.11.NC_003997.CDS.1038912.1039223.fwd,PATRIC,CDS,1038912,1039223,312,+,FIG00002009,PLF_1386_00001032,PGF_12875353,,103,,"transmembrane protein, distant homology with ydbT",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1045,,VBIBacAnt69550_1045,PATRIC.198094.11.NC_003997.CDS.1039303.1040331.fwd,PATRIC,CDS,1039303,1040331,1029,+,FIG00002009,PLF_1386_00001032,PGF_12875353,,342,,"transmembrane protein, distant homology with ydbT",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.92,BA0095,VBIBacAnt69550_0092,PATRIC.198094.11.NC_003997.CDS.103957.104136.fwd,PATRIC,CDS,103957,104136,180,+,FIG00001219,PLF_1386_00001279,PGF_09669766,NP_842663.1,59,secE,Protein translocase subunit SecE,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1046,BA1057,VBIBacAnt69550_1046,PATRIC.198094.11.NC_003997.CDS.1040880.1041146.fwd,PATRIC,CDS,1040880,1041146,267,+,FIG00510207,PLF_1386_00005132,PGF_00012664,NP_843555.1,88,,"Hydrolase, HAD superfamily",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1047,BA1059,VBIBacAnt69550_1047,PATRIC.198094.11.NC_003997.CDS.1041856.1042227.fwd,PATRIC,CDS,1041856,1042227,372,+,FIG01288841,PLF_1386_00006272,PGF_00156369,NP_843556.1,123,,Protein of unknown function DUF1304,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.93,BA0096,VBIBacAnt69550_0093,PATRIC.198094.11.NC_003997.CDS.104268.104801.fwd,PATRIC,CDS,104268,104801,534,+,FIG00000269,PLF_1386_00000370,PGF_03174068,NP_842664.1,177,nusG,Transcription antitermination protein NusG,GO:0003711|transcription elongation regulator activity
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1048,BA1061,VBIBacAnt69550_1048,PATRIC.198094.11.NC_003997.CDS.1042919.1043743.fwd,PATRIC,CDS,1042919,1043743,825,+,FIG00947911,PLF_1386_00004739,PGF_00408003,NP_843557.1,274,,putative lipoprotein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1049,,VBIBacAnt69550_1049,PATRIC.198094.11.NC_003997.CDS.1043837.1044124.rev,PATRIC,CDS,1043837,1044124,288,-,,PLF_1386_00014730,PGF_10538468,,95,,Pentapeptide repeat family protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1050,,VBIBacAnt69550_1050,PATRIC.198094.11.NC_003997.CDS.1044093.1044452.rev,PATRIC,CDS,1044093,1044452,360,-,FIG01323047,PLF_1386_00014730,PGF_10538468,,119,,Pentapeptide repeat family protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1051,BA1063,VBIBacAnt69550_1051,PATRIC.198094.11.NC_003997.CDS.1044730.1045533.fwd,PATRIC,CDS,1044730,1045533,804,+,FIG00003460,PLF_1386_00007337,PGF_00057506,NP_843558.1,267,,"Transcriptional regulator, MerR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1052,BA1064,VBIBacAnt69550_1052,PATRIC.198094.11.NC_003997.CDS.1045836.1046132.fwd,PATRIC,CDS,1045836,1046132,297,+,FIG01225751,PLF_1386_00005024,PGF_00811773,NP_843559.1,98,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1053,BA1065,VBIBacAnt69550_1053,PATRIC.198094.11.NC_003997.CDS.1046206.1046682.fwd,PATRIC,CDS,1046206,1046682,477,+,FIG00001940,PLF_1386_00002340,PGF_08011026,NP_843560.1,158,,"transmembrane protein, distant homology with ydbS",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1054,BA1066,VBIBacAnt69550_1054,PATRIC.198094.11.NC_003997.CDS.1046732.1048093.fwd,PATRIC,CDS,1046732,1048093,1362,+,FIG00002009,PLF_1386_00004391,PGF_12875353,NP_843561.1,453,,"transmembrane protein, distant homology with ydbT",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1055,BA1068,VBIBacAnt69550_1055,PATRIC.198094.11.NC_003997.CDS.1048246.1048749.rev,PATRIC,CDS,1048246,1048749,504,-,FIG00002659,PLF_1386_00001768,PGF_00065803,NP_843562.1,167,,"Uncharacterized protein, homolog of B.subtilis yhgC",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1056,BA1069,VBIBacAnt69550_1056,PATRIC.198094.11.NC_003997.CDS.1048877.1050994.fwd,PATRIC,CDS,1048877,1050994,2118,+,FIG00000011,PLF_1386_00266601,PGF_05982667,NP_843563.1,705,pbpF,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-),GO:0008955|peptidoglycan glycosyltransferase activity
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.94,BA0097,VBIBacAnt69550_0094,PATRIC.198094.11.NC_003997.CDS.104969.105394.fwd,PATRIC,CDS,104969,105394,426,+,FIG00000182,PLF_1386_00000379,PGF_07695531,NP_842665.1,141,rplK,LSU ribosomal protein L11p (L12e),GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1057,BA1070,VBIBacAnt69550_1057,PATRIC.198094.11.NC_003997.CDS.1051249.1052220.fwd,PATRIC,CDS,1051249,1052220,972,+,FIG00000428,PLF_1386_00000460,PGF_04139053,NP_843564.1,323,hemE,Uroporphyrinogen III decarboxylase (EC 4.1.1.37),GO:0004853|uroporphyrinogen decarboxylase activity
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1058,BA1071,VBIBacAnt69550_1058,PATRIC.198094.11.NC_003997.CDS.1052235.1053170.fwd,PATRIC,CDS,1052235,1053170,936,+,FIG00000345,PLF_1386_00000114,PGF_08255692,NP_843565.1,311,hemH,Coproporphyrin ferrochelatase (EC 4.99.1.9),
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1059,BA1072,VBIBacAnt69550_1059,PATRIC.198094.11.NC_003997.CDS.1053190.1054611.fwd,PATRIC,CDS,1053190,1054611,1422,+,FIG00068302,PLF_1386_00000899,PGF_05463076,NP_843566.1,473,hemY-1,"Protoporphyrinogen IX oxidase, aerobic, HemY (EC 1.3.3.4)",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1060,BA1073,VBIBacAnt69550_1060,PATRIC.198094.11.NC_003997.CDS.1054651.1056003.rev,PATRIC,CDS,1054651,1056003,1353,-,FIG01324019,PLF_1386_00004280,PGF_00071109,NP_843567.1,450,,"Bacillus cereus group-specific protein, uncharacterized",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.95,BA0098,VBIBacAnt69550_0095,PATRIC.198094.11.NC_003997.CDS.105572.106264.fwd,PATRIC,CDS,105572,106264,693,+,FIG00000264,PLF_1386_00000381,PGF_00016357,NP_842666.1,230,rplA,LSU ribosomal protein L1p (L10Ae),GO:0003735|structural constituent of ribosome;GO:0005622|intracellular;GO:0005840|ribosome;GO:0006412|translation
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1061,BA1075,VBIBacAnt69550_1061,PATRIC.198094.11.NC_003997.CDS.1056244.1058610.fwd,PATRIC,CDS,1056244,1058610,2367,+,FIG01247347,PLF_1386_00002050,PGF_00070964,NP_843568.1,788,,endonuclease/exonuclease/phosphatase family,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1062,BA1076,VBIBacAnt69550_1062,PATRIC.198094.11.NC_003997.CDS.1058762.1059115.fwd,PATRIC,CDS,1058762,1059115,354,+,FIG01226545,PLF_1386_00018957,PGF_00257630,NP_843569.1,117,,hypothetical protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1063,BA1077,VBIBacAnt69550_1063,PATRIC.198094.11.NC_003997.CDS.1059112.1059951.rev,PATRIC,CDS,1059112,1059951,840,-,FIG01288841,PLF_1386_00009433,PGF_00839856,NP_843570.1,279,,Membrane protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1064,BA1078,VBIBacAnt69550_1064,PATRIC.198094.11.NC_003997.CDS.1060181.1060579.fwd,PATRIC,CDS,1060181,1060579,399,+,FIG01242960,PLF_1386_00003956,PGF_01462000,NP_843571.1,132,blaI,"Transcriptional repressor, BlaI/MecI family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1065,BA1079,VBIBacAnt69550_1065,PATRIC.198094.11.NC_003997.CDS.1060729.1062483.fwd,PATRIC,CDS,1060729,1062483,1755,+,FIG01395247,PLF_1386_00003819,PGF_00715121,NP_843572.1,584,,"Regulatory sensor-transducer, BlaR1/MecR1 family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1066,BA1080,VBIBacAnt69550_1066,PATRIC.198094.11.NC_003997.CDS.1062697.1063269.fwd,PATRIC,CDS,1062697,1063269,573,+,FIG00554417,PLF_1386_00000852,PGF_00064572,NP_843573.1,190,,"Uncharacterized transcriptional regulator YhgD, TetR family",
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1067,BA1081,VBIBacAnt69550_1067,PATRIC.198094.11.NC_003997.CDS.1063481.1066093.fwd,PATRIC,CDS,1063481,1066093,2613,+,FIG01225469,PLF_1386_00034348,PGF_12779560,NP_843574.1,870,,Phage infection protein,
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.96,BA0099,VBIBacAnt69550_0096,PATRIC.198094.11.NC_003997.CDS.106497.106997.fwd,PATRIC,CDS,106497,106997,501,+,FIG00000159,PLF_1386_00000330,PGF_01213071,NP_842667.1,166,rplJ,LSU ribosomal protein L10p (P0),GO:0005622|intracellular;GO:0042254|ribosome biogenesis and assembly
Bacillus anthracis str. Ames,198094.11,NC_003997,fig|198094.11.peg.1068,BA1082,VBIBacAnt69550_1068,PATRIC.198094.11.NC_003997.CDS.1066237.1066452.fwd,PATRIC,CDS,1066237,1066452,216,+,FIG01226855,PLF_1386_00004626,PGF_00749265,NP_843575.1,71,,hypothetical protein,
