Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4464","AK38_4162",,"PATRIC.214092.181.CP009971.CDS.19169.19789.rev","PATRIC","CDS",19169,19789,621,"-","FIG01449923","PLF_629_00003950","PGF_00410347",,206,,"putative resolvase",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4465","AK38_4163",,"PATRIC.214092.181.CP009971.CDS.19989.20315.rev","PATRIC","CDS",19989,20315,327,"-","FIG00554427","PLF_629_00005319","PGF_10395092",,108,,"mRNA interferase RelE",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4446",,,"PATRIC.214092.181.CP009971.CDS.2.1714.rev","PATRIC","CDS",2,1714,1713,"-",,"PLF_629_00029622","PGF_08225224",,571,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4466","AK38_4164",,"PATRIC.214092.181.CP009971.CDS.20315.20542.rev","PATRIC","CDS",20315,20542,228,"-","FIG01368126","PLF_629_00003957","PGF_00036635",,75,,"Prevent host death protein, Phd antitoxin",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4467","AK38_4165",,"PATRIC.214092.181.CP009971.CDS.20814.22049.fwd","PATRIC","CDS",20814,22049,1236,"+","FIG01304329","PLF_629_00003926","PGF_04370656",,411,"parA","Chromosome (plasmid) partitioning protein ParA",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4468","AK38_4166",,"PATRIC.214092.181.CP009971.CDS.22046.23017.fwd","PATRIC","CDS",22046,23017,972,"+","FIG00002746","PLF_629_00003927","PGF_07342234",,323,,"Chromosome (plasmid) partitioning protein ParB",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4448","AK38_4151",,"PATRIC.214092.181.CP009971.CDS.2299.2685.fwd","PATRIC","CDS",2299,2685,387,"+","FIG01220455","PLF_629_00004093","PGF_10494071",,128,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4469",,,"PATRIC.214092.181.CP009971.CDS.23154.23282.rev","PATRIC","CDS",23154,23282,129,"-","FIG01220970","PLF_629_00003947","PGF_00219083",,42,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4470","AK38_4167",,"PATRIC.214092.181.CP009971.CDS.23402.24793.fwd","PATRIC","CDS",23402,24793,1392,"+","FIG01326599","PLF_629_00003929","PGF_00039299",,463,,"Putative DNA-binding protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4471","AK38_4168",,"PATRIC.214092.181.CP009971.CDS.24955.25155.rev","PATRIC","CDS",24955,25155,201,"-",,"PLF_629_00003948","PGF_00259085",,66,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4472","AK38_4169",,"PATRIC.214092.181.CP009971.CDS.25656.26333.fwd","PATRIC","CDS",25656,26333,678,"+","FIG00001670","PLF_629_00004301","PGF_08865288",,225,,"Adenine-specific methyltransferase (EC 2.1.1.72)","GO:0009007|site-specific DNA-methyltransferase (adenine-specific) activity"
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4473","AK38_4170",,"PATRIC.214092.181.CP009971.CDS.26333.26554.fwd","PATRIC","CDS",26333,26554,222,"+","FIG01308092","PLF_629_00003965","PGF_08225224",,73,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4474","AK38_4171",,"PATRIC.214092.181.CP009971.CDS.26565.26984.fwd","PATRIC","CDS",26565,26984,420,"+","FIG00001670","PLF_629_00003966","PGF_08225224",,139,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4449","AK38_4150",,"PATRIC.214092.181.CP009971.CDS.2680.3858.rev","PATRIC","CDS",2680,3858,1179,"-","FIG01116662","PLF_629_00004039","PGF_00014805",,392,,"Integrase",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4475","AK38_4172",,"PATRIC.214092.181.CP009971.CDS.27038.27817.fwd","PATRIC","CDS",27038,27817,780,"+","FIG00456886","PLF_629_00009761","PGF_08225224",,259,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4476","AK38_4173",,"PATRIC.214092.181.CP009971.CDS.28216.28722.fwd","PATRIC","CDS",28216,28722,507,"+","FIG00732172","PLF_629_00004055","PGF_00060224",,168,,"Antirestriction protein ArdA",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4477","AK38_4174",,"PATRIC.214092.181.CP009971.CDS.29435.29665.fwd","PATRIC","CDS",29435,29665,231,"+","FIG00904518","PLF_629_00003975","PGF_00064362",,76,,"UPF0401 protein YkfF",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4478","AK38_4175",,"PATRIC.214092.181.CP009971.CDS.29738.31747.fwd","PATRIC","CDS",29738,31747,2010,"+","FIG01326599","PLF_629_00003911","PGF_00039267",,669,,"Putative DNA-binding protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4479","AK38_4176",,"PATRIC.214092.181.CP009971.CDS.31871.32893.fwd","PATRIC","CDS",31871,32893,1023,"+","FIG01306568","PLF_629_00000003","PGF_01000105",,340,,"Mobile element protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4480","AK38_4177",,"PATRIC.214092.181.CP009971.CDS.32893.33672.fwd","PATRIC","CDS",32893,33672,780,"+","FIG01306568","PLF_629_00000004","PGF_01000105",,259,,"Mobile element protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4481","AK38_4178",,"PATRIC.214092.181.CP009971.CDS.33688.34227.fwd","PATRIC","CDS",33688,34227,540,"+","FIG00041038","PLF_629_00004208","PGF_00193708",,179,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4482","AK38_4179",,"PATRIC.214092.181.CP009971.CDS.34224.34667.fwd","PATRIC","CDS",34224,34667,444,"+","FIG00638284","PLF_629_00004294","PGF_00207953",,147,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4483","AK38_4180",,"PATRIC.214092.181.CP009971.CDS.34697.35260.rev","PATRIC","CDS",34697,35260,564,"-","FIG01326599","PLF_629_00004127","PGF_04592298",,187,,"Putative DNA-binding protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4484","AK38_4181",,"PATRIC.214092.181.CP009971.CDS.35333.35584.rev","PATRIC","CDS",35333,35584,252,"-",,"PLF_629_00035076","PGF_04138379",,83,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4485","AK38_4182",,"PATRIC.214092.181.CP009971.CDS.35805.36236.fwd","PATRIC","CDS",35805,36236,432,"+","FIG01219797","PLF_629_00004035","PGF_12956853",,143,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4486","AK38_4183",,"PATRIC.214092.181.CP009971.CDS.36356.37384.fwd","PATRIC","CDS",36356,37384,1029,"+","FIG01363442","PLF_629_00004000","PGF_00043663",,342,,"Putative regulatory protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4487","AK38_4184",,"PATRIC.214092.181.CP009971.CDS.37445.38389.fwd","PATRIC","CDS",37445,38389,945,"+","FIG00000404","PLF_629_00003978","PGF_00421463",,314,,"DNA polymerase I 5'-3' exonuclease domain",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4488","AK38_4185",,"PATRIC.214092.181.CP009971.CDS.38389.38655.fwd","PATRIC","CDS",38389,38655,267,"+","FIG00638284","PLF_629_00004038","PGF_00241133",,88,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4489","AK38_4186",,"PATRIC.214092.181.CP009971.CDS.38658.39734.fwd","PATRIC","CDS",38658,39734,1077,"+","FIG00000234","PLF_629_00004065","PGF_00246451",,358,,"RecA-like protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4490","AK38_4187",,"PATRIC.214092.181.CP009971.CDS.39825.40025.fwd","PATRIC","CDS",39825,40025,201,"+","FIG00638284","PLF_629_00004076","PGF_00082041",,66,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4491","AK38_4188",,"PATRIC.214092.181.CP009971.CDS.40029.40859.fwd","PATRIC","CDS",40029,40859,831,"+","FIG00731883","PLF_629_00004062","PGF_08224014",,276,,"putative lipoprotein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4450",,,"PATRIC.214092.181.CP009971.CDS.4089.4223.rev","PATRIC","CDS",4089,4223,135,"-","FIG00638284","PLF_629_00004082","PGF_03932041",,44,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4492","AK38_4189",,"PATRIC.214092.181.CP009971.CDS.41013.41384.fwd","PATRIC","CDS",41013,41384,372,"+","FIG01381776","PLF_629_00004068","PGF_00189012",,123,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4493","AK38_4190",,"PATRIC.214092.181.CP009971.CDS.41368.41778.fwd","PATRIC","CDS",41368,41778,411,"+","FIG01220299","PLF_629_00004094","PGF_08225224",,136,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4494","AK38_4191",,"PATRIC.214092.181.CP009971.CDS.41846.42121.fwd","PATRIC","CDS",41846,42121,276,"+","FIG00638284","PLF_629_00004074","PGF_00320397",,91,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4495","AK38_4192",,"PATRIC.214092.181.CP009971.CDS.42162.42341.fwd","PATRIC","CDS",42162,42341,180,"+","FIG01219844","PLF_629_00004077","PGF_12936845",,59,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4496","AK38_4193",,"PATRIC.214092.181.CP009971.CDS.42338.42673.fwd","PATRIC","CDS",42338,42673,336,"+","FIG00638284","PLF_629_00004075","PGF_12936845",,111,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4497","AK38_4194",,"PATRIC.214092.181.CP009971.CDS.42673.42885.fwd","PATRIC","CDS",42673,42885,213,"+","FIG01221454","PLF_629_00004036","PGF_12840136",,70,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4498",,,"PATRIC.214092.181.CP009971.CDS.42936.43049.rev","PATRIC","CDS",42936,43049,114,"-","FIG00638284","PLF_629_00004228","PGF_03932142",,37,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4499",,,"PATRIC.214092.181.CP009971.CDS.43132.43251.rev","PATRIC","CDS",43132,43251,120,"-",,"PLF_629_00023327","PGF_04918688",,39,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4500","AK38_4195",,"PATRIC.214092.181.CP009971.CDS.43454.44518.rev","PATRIC","CDS",43454,44518,1065,"-","FIG01369163","PLF_629_00003979","PGF_00421810",,354,"repB","DNA replication protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4501","AK38_4196",,"PATRIC.214092.181.CP009971.CDS.45263.45907.fwd","PATRIC","CDS",45263,45907,645,"+","FIG01220077","PLF_629_00006142","PGF_08190557",,214,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4451","AK38_4152",,"PATRIC.214092.181.CP009971.CDS.4543.5055.rev","PATRIC","CDS",4543,5055,513,"-","FIG01541364","PLF_629_00013963","PGF_03926588",,170,"caf1","hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4502",,,"PATRIC.214092.181.CP009971.CDS.45983.46129.fwd","PATRIC","CDS",45983,46129,147,"+","FIG01219832","PLF_629_00004095","PGF_03932047",,48,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4503","AK38_4197",,"PATRIC.214092.181.CP009971.CDS.46267.47289.rev","PATRIC","CDS",46267,47289,1023,"-","FIG00004568","PLF_629_00003943","PGF_00042970",,340,,"ABC transporter, substrate-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4504",,,"PATRIC.214092.181.CP009971.CDS.47368.47565.rev","PATRIC","CDS",47368,47565,198,"-","FIG00672161","PLF_629_00004205","PGF_03932122",,65,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4505","AK38_4198",,"PATRIC.214092.181.CP009971.CDS.47705.48790.fwd","PATRIC","CDS",47705,48790,1086,"+","FIG00000782","PLF_629_00003996","PGF_00031763",,361,,"Phage exonuclease",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4506","AK38_4199",,"PATRIC.214092.181.CP009971.CDS.48862.49011.fwd","PATRIC","CDS",48862,49011,150,"+","FIG01220888","PLF_629_00005465","PGF_03932513",,49,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4507","AK38_4200",,"PATRIC.214092.181.CP009971.CDS.49020.50936.fwd","PATRIC","CDS",49020,50936,1917,"+","FIG01304601","PLF_629_00003986","PGF_10477157",,638,,"Phage recombination related exonuclease (EC 3.1.11.-)","GO:0008856|exodeoxyribonuclease X activity;GO:0008856|ribonuclease R activity"
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4508","AK38_4201",,"PATRIC.214092.181.CP009971.CDS.50926.51672.fwd","PATRIC","CDS",50926,51672,747,"+","FIG01220142","PLF_629_00003985","PGF_10514909",,248,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4452","AK38_4153",,"PATRIC.214092.181.CP009971.CDS.5136.7637.rev","PATRIC","CDS",5136,7637,2502,"-","FIG00015519","PLF_629_00004117","PGF_03009889",,833,"caf1A","Outer membrane usher protein SafC",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4509","AK38_4202",,"PATRIC.214092.181.CP009971.CDS.51685.52254.fwd","PATRIC","CDS",51685,52254,570,"+","FIG01220095","PLF_629_00003963","PGF_08225224",,189,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4510","AK38_4203",,"PATRIC.214092.181.CP009971.CDS.52412.52921.fwd","PATRIC","CDS",52412,52921,510,"+","FIG01306568","PLF_629_00000001","PGF_08338115",,169,,"Transposase, IS200 family",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4511","AK38_4204",,"PATRIC.214092.181.CP009971.CDS.53121.53402.fwd","PATRIC","CDS",53121,53402,282,"+","FIG01049739","PLF_629_00004105","PGF_03932054",,93,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4512","AK38_4205",,"PATRIC.214092.181.CP009971.CDS.53419.53595.fwd","PATRIC","CDS",53419,53595,177,"+","FIG00638284","PLF_629_00005907","PGF_07499559",,58,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4513","AK38_4206",,"PATRIC.214092.181.CP009971.CDS.53608.54090.fwd","PATRIC","CDS",53608,54090,483,"+","FIG00638284","PLF_629_00004107","PGF_00261342",,160,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4514","AK38_4207",,"PATRIC.214092.181.CP009971.CDS.54729.54956.rev","PATRIC","CDS",54729,54956,228,"-","FIG00638284","PLF_629_00004743","PGF_00116637",,75,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4515","AK38_4208",,"PATRIC.214092.181.CP009971.CDS.55041.55691.rev","PATRIC","CDS",55041,55691,651,"-","FIG00638284","PLF_629_00004024","PGF_00221947",,216,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4516",,,"PATRIC.214092.181.CP009971.CDS.55748.55885.fwd","PATRIC","CDS",55748,55885,138,"+","FIG00638284","PLF_629_00004239","PGF_03932152",,45,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4517","AK38_4209",,"PATRIC.214092.181.CP009971.CDS.56013.56540.rev","PATRIC","CDS",56013,56540,528,"-","FIG00003845","PLF_629_00004268","PGF_00057831",,175,,"Transcriptional regulator",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4518","AK38_4210",,"PATRIC.214092.181.CP009971.CDS.56545.56967.rev","PATRIC","CDS",56545,56967,423,"-","FIG00731883","PLF_629_00004015","PGF_00408087",,140,,"putative lipoprotein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4519","AK38_4211",,"PATRIC.214092.181.CP009971.CDS.57027.57305.rev","PATRIC","CDS",57027,57305,279,"-","FIG01220641","PLF_629_00004004","PGF_00244495",,92,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4520","AK38_4212",,"PATRIC.214092.181.CP009971.CDS.57308.58867.rev","PATRIC","CDS",57308,58867,1560,"-","FIG00946155","PLF_629_00003998","PGF_00041244",,519,,"Putative helicase",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4521","AK38_4213",,"PATRIC.214092.181.CP009971.CDS.58950.59630.fwd","PATRIC","CDS",58950,59630,681,"+","FIG00126296","PLF_629_00004006","PGF_00244917",,226,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4522","AK38_4214",,"PATRIC.214092.181.CP009971.CDS.59630.60298.fwd","PATRIC","CDS",59630,60298,669,"+","FIG01113189","PLF_629_00003995","PGF_00421420",,222,,"DNA modification methylase",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4523","AK38_4215",,"PATRIC.214092.181.CP009971.CDS.60295.60933.fwd","PATRIC","CDS",60295,60933,639,"+","FIG00995347","PLF_629_00004027","PGF_00003301",,212,,"ABC transporter, ATP-binding protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4524","AK38_4216",,"PATRIC.214092.181.CP009971.CDS.60926.61180.fwd","PATRIC","CDS",60926,61180,255,"+","FIG00638284","PLF_629_00004008","PGF_00254499",,84,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4525","AK38_4217",,"PATRIC.214092.181.CP009971.CDS.61186.62076.fwd","PATRIC","CDS",61186,62076,891,"+","FIG00638284","PLF_629_00003988","PGF_00254499",,296,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4526","AK38_4218",,"PATRIC.214092.181.CP009971.CDS.62086.62352.fwd","PATRIC","CDS",62086,62352,267,"+","FIG00638284","PLF_629_00004007","PGF_00111153",,88,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4527","AK38_4219",,"PATRIC.214092.181.CP009971.CDS.62548.63189.fwd","PATRIC","CDS",62548,63189,642,"+","FIG01221210","PLF_629_00004012","PGF_08225224",,213,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4528","AK38_4220",,"PATRIC.214092.181.CP009971.CDS.63192.64448.fwd","PATRIC","CDS",63192,64448,1257,"+","FIG01353802","PLF_629_00004002","PGF_00244917",,418,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4529","AK38_4221",,"PATRIC.214092.181.CP009971.CDS.64482.66056.fwd","PATRIC","CDS",64482,66056,1575,"+","FIG01220861","PLF_629_00004031","PGF_08225224",,524,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4530","AK38_4222",,"PATRIC.214092.181.CP009971.CDS.66079.66912.fwd","PATRIC","CDS",66079,66912,834,"+","FIG01220708","PLF_629_00003807","PGF_12830889",,277,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4531","AK38_4223",,"PATRIC.214092.181.CP009971.CDS.66939.67814.fwd","PATRIC","CDS",66939,67814,876,"+","FIG01220981","PLF_629_00004003","PGF_06600162",,291,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4532","AK38_4224",,"PATRIC.214092.181.CP009971.CDS.67889.68551.fwd","PATRIC","CDS",67889,68551,663,"+","FIG01220317","PLF_629_00004044","PGF_08225224",,220,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4533","AK38_4225",,"PATRIC.214092.181.CP009971.CDS.68595.69029.fwd","PATRIC","CDS",68595,69029,435,"+","FIG00638284","PLF_629_00004013","PGF_08225224",,144,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4534","AK38_4226",,"PATRIC.214092.181.CP009971.CDS.69029.69862.fwd","PATRIC","CDS",69029,69862,834,"+","FIG00638284","PLF_629_00004011","PGF_10377868",,277,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4535","AK38_4227",,"PATRIC.214092.181.CP009971.CDS.69960.70304.fwd","PATRIC","CDS",69960,70304,345,"+","FIG01220509","PLF_629_00004010","PGF_00157762",,114,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4536","AK38_4228",,"PATRIC.214092.181.CP009971.CDS.70295.70768.fwd","PATRIC","CDS",70295,70768,474,"+","FIG00638284","PLF_629_00004037","PGF_08142152",,157,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4537","AK38_4229",,"PATRIC.214092.181.CP009971.CDS.70770.71153.fwd","PATRIC","CDS",70770,71153,384,"+","FIG01221384","PLF_629_00004005","PGF_00385675",,127,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4538","AK38_4230",,"PATRIC.214092.181.CP009971.CDS.71228.71974.fwd","PATRIC","CDS",71228,71974,747,"+","FIG01443897","PLF_629_00003987","PGF_10535139",,248,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4539","AK38_4231",,"PATRIC.214092.181.CP009971.CDS.72034.72351.fwd","PATRIC","CDS",72034,72351,318,"+","FIG00638284","PLF_629_00004009","PGF_00158775",,105,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4540",,,"PATRIC.214092.181.CP009971.CDS.72432.72701.fwd","PATRIC","CDS",72432,72701,270,"+","FIG00924925","PLF_629_00004050","PGF_00307207",,89,,"hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4541","AK38_4232",,"PATRIC.214092.181.CP009971.CDS.72709.77286.fwd","PATRIC","CDS",72709,77286,4578,"+","FIG00924939","PLF_629_00003933","PGF_02848400",,1525,,"putative membrane protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4453","AK38_4154",,"PATRIC.214092.181.CP009971.CDS.7662.8438.rev","PATRIC","CDS",7662,8438,777,"-","FIG01377202","PLF_629_00004069","PGF_03932037",,258,"caf1M","hypothetical protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4542","AK38_4233",,"PATRIC.214092.181.CP009971.CDS.77328.77663.fwd","PATRIC","CDS",77328,77663,336,"+","FIG01221187","PLF_629_00003999","PGF_00043184",,111,,"Putative phage tail protein",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4543","AK38_4234",,"PATRIC.214092.181.CP009971.CDS.77720.78451.fwd","PATRIC","CDS",77720,78451,732,"+","FIG00006386","PLF_629_00003997","PGF_00032077",,243,,"Phage tail tip, assembly protein L",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4544","AK38_4235",,"PATRIC.214092.181.CP009971.CDS.78444.79241.fwd","PATRIC","CDS",78444,79241,798,"+","FIG00002355","PLF_629_00004025","PGF_00043185",,265,,"Phage tail tip, assembly protein K",
"Yersinia pestis CO92","214092.181","CP009971","fig|214092.181.peg.4545","AK38_4236",,"PATRIC.214092.181.CP009971.CDS.79229.79816.fwd","PATRIC","CDS",79229,79816,588,"+","FIG00003272","PLF_629_00004029","PGF_00043195",,195,,"Phage tail tip, assembly protein I",
