Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000001.CDS.87332016.87344796.fwd","Protein","LIM domain transcription factor LMO4","Primates",9606,"9606.33","Homo sapiens",,"LMO4","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039433;imex:IM-23549-35;intact:EBI-10040261;imex:IM-23549-82",
"fig|386585.9.peg.1913","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1812",,"RefSeq.9606.33.NC_000006.CDS.63576881.63580174.fwd","Protein","protein tyrosine phosphatase type IVA 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PTP4A1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039139;imex:IM-23549-25;intact:EBI-10040239;imex:IM-23549-75",
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000001.CDS.15492943.15524200.rev","Protein","caspase-9 isoform alpha precursor","Primates",9606,"9606.33","Homo sapiens",,"CASP9","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039290;imex:IM-23549-32;intact:EBI-10040252;imex:IM-23549-79",
"fig|386585.9.peg.4025","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs3857",,"RefSeq.9606.33.NC_000019.CDS.1089486.1095315.rev","Protein","DNA-directed RNA polymerases I, II, and III subunit RPABC1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"POLR2E","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039185;imex:IM-23549-28;intact:EBI-10040243;imex:IM-23549-76",
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000001.CDS.44221558.44355026.rev","Protein","ERI1 exoribonuclease 3 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"ERI3","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039429;imex:IM-23549-34;intact:EBI-10040258;imex:IM-23549-81",
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000003.CDS.3129041.3148154.fwd","Protein","CCA tRNA nucleotidyltransferase 1, mitochondrial isoform 2","Primates",9606,"9606.33","Homo sapiens",,"TRNT1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039438;imex:IM-23549-36;intact:EBI-10040265;imex:IM-23549-83",
"fig|386585.9.peg.962","Protein","Phage protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0847",,"RefSeq.9606.33.NC_000015.CDS.44459015.44524174.fwd","Protein","CTD small phosphatase-like protein 2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"CTDSPL2","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039220;imex:IM-23549-30",
"fig|511145.12.peg.3281","Protein","Octaprenyl diphosphate synthase (EC 2.5.1.90)","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b3187","ispB","RefSeq.9606.33.NC_000006.CDS.107154619.107459285.rev","Protein","decaprenyl-diphosphate synthase subunit 2 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PDSS2","HPI","physical association","blue native page","experimental","20051244","mint","intact:EBI-7701398;mint:MINT-7385426;imex:IM-15459-7",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000008.CDS.101689309.101719629.rev","Protein","neurocalcin-delta","Primates",9606,"9606.33","Homo sapiens",,"NCALD","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039836;imex:IM-23549-50;intact:EBI-10039508;imex:IM-23549-43;intact:EBI-10040313;imex:IM-23549-92",
"fig|386585.9.peg.4768","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4550",,"RefSeq.9606.33.NC_000006.CDS.157823435.157942838.fwd","Protein","sorting nexin-9","Primates",9606,"9606.33","Homo sapiens",,"SNX9","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038742;imex:IM-23549-5;intact:EBI-10040209;imex:IM-23549-66",
"RefSeq.386585.9.NC_002695.CDS.4603488.4603994.rev","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4564",,"RefSeq.9606.33.NC_000019.CDS.41884468.41907413.fwd","Protein","rho guanine nucleotide exchange factor 1 isoform X6","Primates",9606,"9606.33","Homo sapiens",,"ARHGEF1","HPI","association;colocalization;physical association","anti tag coimmunoprecipitation;fluorescence microscopy;pull down","experimental","20300064;15070;7909059;10.1038/emboj.2010.33","mint","intact:EBI-7864852;mint:MINT-7909421;imex:IM-15070-9;intact:EBI-7864879;mint:MINT-7909440;imex:IM-15070-10;intact:EBI-7865426;mint:MINT-7909139;imex:IM-15070-2;intact:EBI-7864798;mint:MINT-7909075;imex:IM-15070-8;intact:EBI-7865471;mint:MINT-7909159;imex:IM-15070-1;intact:EBI-7865258;mint:MINT-7909090;imex:IM-15070-7;intact:EBI-7865287;mint:MINT-7909110;imex:IM-15070-3",
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000001.CDS.26472613.26475148.fwd","Protein","non-histone chromosomal protein HMG-17","Primates",9606,"9606.33","Homo sapiens",,"HMGN2","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10040179;imex:IM-23549-62;intact:EBI-10040268;imex:IM-23549-84",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000012.CDS.6946726.6960920.fwd","Protein","tyrosine-protein phosphatase non-receptor type 6 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"PTPN6","HPI","physical association","anti tag coimmunoprecipitation","experimental","23001144;20917","innatedb","intact:EBI-6676123;imex:IM-20917-3;intact:EBI-6890968;imex:IM-20917-9",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000015.CDS.42359806.42411773.fwd","Protein","calpain-3 isoform c","Primates",9606,"9606.33","Homo sapiens",,"CAPN3","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10038917;imex:IM-23549-12",
"fig|386585.9.peg.4779","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4562",,"RefSeq.9606.33.NC_000016.CDS.2027006.2037984.fwd","Protein","Na(+)/H(+) exchange regulatory cofactor NHE-RF2 isoform b","Primates",9606,"9606.33","Homo sapiens",,"SLC9A3R2","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039081;imex:IM-23549-21",
"fig|511145.12.peg.2298","Protein","Proteinase inhibitor I11, ecotin precursor","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b2209","eco","RefSeq.9606.33.NC_000004.CDS.186267137.186288614.fwd","Protein","coagulation factor XI isoform X4","Primates",9606,"9606.33","Homo sapiens",,"F11","HPI","direct interaction","x-ray crystallography","experimental","15545266","intact","intact:EBI-1041053;rcsb pdb:1XX9;intact:EBI-1041064;rcsb pdb:1XXD;intact:EBI-1041075;rcsb pdb:1XXF",
"fig|386585.9.peg.4025","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs3857",,"RefSeq.9606.33.NC_000010.CDS.48910237.48914155.rev","Protein","leucine-rich repeat-containing protein 18 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"LRRC18","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039173;imex:IM-23549-27",
"fig|386585.9.peg.4025","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs3857",,"RefSeq.9606.33.NC_000017.CDS.18088024.18107240.fwd","Protein","developmentally-regulated GTP-binding protein 2","Primates",9606,"9606.33","Homo sapiens",,"DRG2","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039161;imex:IM-23549-26;intact:EBI-10040246;imex:IM-23549-77",
"fig|386585.9.peg.1915","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1814",,"RefSeq.9606.33.NC_000001.CDS.161153998.161158492.fwd","Protein","ubiquitin-fold modifier-conjugating enzyme 1","Primates",9606,"9606.33","Homo sapiens",,"UFC1","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039453;imex:IM-23549-37",
"fig|386585.9.peg.2841","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs2714",,"RefSeq.9606.33.NC_000005.CDS.69189635.69209799.fwd","Protein","centromere protein H","Primates",9606,"9606.33","Homo sapiens",,"CENPH","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038796;imex:IM-23549-7;intact:EBI-10040223;imex:IM-23549-70",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000007.CDS.98293521.98400852.rev","Protein","brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1","Primates",9606,"9606.33","Homo sapiens",,"BAIAP2L1","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039820;imex:IM-23549-47;intact:EBI-10039484;imex:IM-23549-40;intact:EBI-10039985;imex:IM-23549-57",
"fig|511145.12.peg.395","Protein","Alkaline phosphatase (EC 3.1.3.1)","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b0383","phoA","RefSeq.9606.33.NC_000012.CDS.40225132.40367765.fwd","Protein","leucine-rich repeat serine/threonine-protein kinase 2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"LRRK2","HPI","dephosphorylation reaction","protein phosphatase assay","experimental","23937259;23014","intact","intact:EBI-9690852;imex:IM-23014-3;intact:EBI-9690874;imex:IM-23014-4",
"fig|386585.9.peg.2841","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs2714",,"RefSeq.9606.33.NC_000011.CDS.208855.214350.fwd","Protein","synembryn-A isoform 2","Primates",9606,"9606.33","Homo sapiens",,"RIC8A","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038846;imex:IM-23549-10;intact:EBI-10040217;imex:IM-23549-68",
"RefSeq.386585.9.NC_002695.CDS.1805670.1806239.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1815",,"RefSeq.9606.33.NC_000005.CDS.80629087.80654489.rev","Protein","dihydrofolate reductase isoform 1","Primates",9606,"9606.33","Homo sapiens",,"DHFR","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039425;imex:IM-23549-33;intact:EBI-10040255;imex:IM-23549-80",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000013.CDS.113177939.113208634.rev","Protein","PCI domain-containing protein 2 isoform X4","Primates",9606,"9606.33","Homo sapiens",,"PCID2","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10039010;imex:IM-23549-16",
"fig|386585.9.peg.4798","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4590",,"RefSeq.9606.33.NC_000014.CDS.49893737.49894264.fwd","Protein","ADP-ribosylation factor 6","Primates",9606,"9606.33","Homo sapiens",,"ARF6","HPI","physical association","x-ray crystallography","experimental","22939626","intact","intact:EBI-6379789;imex:IM-17932-11;wwpdb:4fme",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000019.CDS.49446382.49451574.rev","Protein","PIH1 domain-containing protein 1","Primates",9606,"9606.33","Homo sapiens",,"PIH1D1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039014;imex:IM-23549-17;intact:EBI-10040278;imex:IM-23549-87",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000017.CDS.81035255.81116305.fwd","Protein","brain-specific angiogenesis inhibitor 1-associated protein 2 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"BAIAP2","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039893;imex:IM-23549-54;intact:EBI-10039889;imex:IM-23549-53;intact:EBI-10039977;imex:IM-23549-56",
"fig|386585.9.peg.4771","Protein","Secretion system effector SseD","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4554",,"RefSeq.9606.33.NC_000020.CDS.408739.430430.fwd","Protein","ranBP-type and C3HC4-type zinc finger-containing protein 1 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"RBCK1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038604;imex:IM-23549-1;intact:EBI-10040186;imex:IM-23549-63",
"fig|386585.9.peg.2841","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs2714",,"RefSeq.9606.33.NC_000004.CDS.6709246.6709629.rev","Protein","MORF4 family-associated protein 1-like 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"MRFAP1L1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038835;imex:IM-23549-9;intact:EBI-10040220;imex:IM-23549-69",
"fig|511145.12.peg.1186","Protein","Prophage lambda integrase","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b1140","intE","RefSeq.9606.33.NC_000003.CDS.125972055.125983320.fwd","Protein","ropporin-1B","Primates",9606,"9606.33","Homo sapiens",,"ROPN1B","HPI","association","experimental interaction detection","experimental","11278869","uniprot",,
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000012.CDS.55821977.55828658.rev","Protein","dnaJ homolog subfamily C member 14","Primates",9606,"9606.33","Homo sapiens",,"DNAJC14","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039004;imex:IM-23549-15;intact:EBI-10040281;imex:IM-23549-88",
"RefSeq.386585.9.NC_002695.CDS.4603488.4603994.rev","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4564",,"RefSeq.9606.33.NC_000001.CDS.156936000.157046415.rev","Protein","rho guanine nucleotide exchange factor 11 isoform X7","Primates",9606,"9606.33","Homo sapiens",,"ARHGEF11","HPI","physical association","anti tag coimmunoprecipitation;pull down","experimental","20300064;15070;7909059;10.1038/emboj.2010.33","mint","intact:EBI-7865085;mint:MINT-7949812;imex:IM-15070-15;intact:EBI-7865130;mint:MINT-7949829;imex:IM-15070-16;intact:EBI-7865179;mint:MINT-7949847;imex:IM-15070-17;intact:EBI-7865361;mint:MINT-7949704;imex:IM-15070-5",
"fig|386585.9.peg.4779","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4562",,"RefSeq.9606.33.NC_000008.CDS.143368988.143382651.fwd","Protein","rhophilin-1","Primates",9606,"9606.33","Homo sapiens",,"RHPN1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039066;imex:IM-23549-20;intact:EBI-10040226;imex:IM-23549-71",
"RefSeq.386585.9.NC_002695.CDS.1587812.1588087.rev","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1567",,"RefSeq.9606.33.NC_000015.CDS.68278418.68291242.fwd","Protein","protein fem-1 homolog B isoform X1","Primates",9606,"9606.33","Homo sapiens",,"FEM1B","HPI","physical association","two hybrid","experimental","25519916","intact","intact:EBI-10038902;imex:IM-23549-11",
"fig|511145.12.peg.12","Protein","Chaperone protein DnaK","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b0014","dnaK","RefSeq.9606.33.NC_000017.CDS.7669609.7676594.rev","Protein","cellular tumor antigen p53 isoform a","Primates",9606,"9606.33","Homo sapiens",,"TP53","HPI","direct interaction","affinity chromatography technology","experimental","20153329","mint","intact:EBI-7806506;mint:MINT-7557591;imex:IM-15644-2",
"fig|511145.12.peg.2298","Protein","Proteinase inhibitor I11, ecotin precursor","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b2209","eco","RefSeq.9606.33.NC_000013.CDS.113122856.113149517.fwd","Protein","coagulation factor X preproprotein","Primates",9606,"9606.33","Homo sapiens",,"F10","HPI","direct interaction","x-ray crystallography","experimental","14579355","mint","intact:EBI-7053299;mint:MINT-24880",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000011.CDS.75266163.75351607.rev","Protein","beta-arrestin-1 isoform A","Primates",9606,"9606.33","Homo sapiens",,"ARRB1","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039808;imex:IM-23549-46;intact:EBI-10039479;imex:IM-23549-39;intact:EBI-10039968;imex:IM-23549-55",
"fig|386585.9.peg.4778","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4561",,"RefSeq.9606.33.NC_000002.CDS.219246000.219248559.fwd","Protein","serine/threonine-protein kinase 16 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"STK16","HPI","physical association","luminescence based mammalian interactome mapping;two hybrid","experimental","25519916;23549","intact","intact:EBI-10039863;imex:IM-23549-52;intact:EBI-10039518;imex:IM-23549-45;intact:EBI-10040025;imex:IM-23549-61",
"fig|386585.9.peg.4798","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs4590",,"RefSeq.9606.33.NC_000002.CDS.65088493.65129915.rev","Protein","ras-related protein Rab-1A isoform 1","Primates",9606,"9606.33","Homo sapiens",,"RAB1A","HPI","physical association","x-ray crystallography","experimental","22939626","intact","intact:EBI-6379749;imex:IM-17932-9;wwpdb:4fmc",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000007.CDS.101218196.101223958.fwd","Protein","zinc finger HIT domain-containing protein 1","Primates",9606,"9606.33","Homo sapiens",,"ZNHIT1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039022;imex:IM-23549-19;intact:EBI-10040272;imex:IM-23549-85",
"fig|511145.12.peg.4275","Protein","Heat shock protein 60 family chaperone GroEL","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b4143","groL","RefSeq.9606.33.NC_000021.CDS.25881670.26170620.rev","Protein","amyloid beta A4 protein isoform a precursor","Primates",9606,"9606.33","Homo sapiens",,"APP","HPI","direct interaction","nuclear magnetic resonance","experimental","23603391;8426294;13-00033r1","mint","mint:MINT-8426329;intact:EBI-8518166",
"RefSeq.386585.9.NC_002695.CDS.928594.929292.fwd","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0850",,"RefSeq.9606.33.NC_000017.CDS.62423903.62448729.fwd","Protein","methyltransferase-like protein 2A","Primates",9606,"9606.33","Homo sapiens",,"METTL2A","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039258;imex:IM-23549-31;intact:EBI-10040249;imex:IM-23549-78",
"fig|386585.9.peg.1913","Protein","hypothetical protein","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs1812",,"RefSeq.9606.33.NC_000021.CDS.38006816.38121255.rev","Protein","Down syndrome critical region protein 4 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"DSCR4","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10039115;imex:IM-23549-22;intact:EBI-10040229;imex:IM-23549-72",
"fig|386585.9.peg.160","Protein","Uncharacterized protein YabP","Bacteria",386585,"386585.9","Escherichia coli O157:H7 str. Sakai","ECs0061",,"RefSeq.9606.33.NC_000002.CDS.200853306.200864226.rev","Protein","dual specificity protein kinase CLK1 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"CLK1","HPI","physical association","two hybrid","experimental","25519916;23549","intact","intact:EBI-10038970;imex:IM-23549-14;intact:EBI-10040284;imex:IM-23549-89",
"fig|511145.12.peg.4274","Protein","Heat shock protein 60 family co-chaperone GroES","Bacteria",511145,"511145.12","Escherichia coli str. K-12 substr. MG1655","b4142","groS","RefSeq.9606.33.NC_000022.CDS.37011027.37018732.rev","Protein","thiosulfate sulfurtransferase","Primates",9606,"9606.33","Homo sapiens",,"TST","HPI","physical association","fluorescence technology;molecular sieving","experimental","20959808;15404;8088424;10.1038/emboj.2010.262","mint","intact:EBI-8463768;mint:MINT-8088432;imex:IM-15404-5;intact:EBI-8464052;mint:MINT-8090118;imex:IM-15404-1",
