Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"fig|198094.11.peg.1058","Protein","Coproporphyrin ferrochelatase (EC 4.99.1.-)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1071","hemH","RefSeq.9606.33.NC_000001.CDS.11107485.11259409.rev","Protein","serine/threonine-protein kinase mTOR isoform X1","Primates",9606,"9606.33","Homo sapiens",,"MTOR","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2833640;imex:IM-13779-3788",
"fig|198094.11.peg.4389","Protein","Translation elongation factor P","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4421","efp","RefSeq.9606.33.NC_000005.CDS.181236977.181243800.rev","Protein","guanine nucleotide-binding protein subunit beta-2-like 1","Primates",9606,"9606.33","Homo sapiens",,"GNB2L1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2833445;imex:IM-13779-3757",
"fig|198094.11.peg.4807","Protein","Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4846","accD","RefSeq.9606.33.NC_000006.CDS.144291829.144850997.fwd","Protein","utrophin isoform X1","Primates",9606,"9606.33","Homo sapiens",,"UTRN","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2819583;imex:IM-13779-2293",
"fig|198094.11.peg.2844","Protein","Putative Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11) (X-Pro dipeptidyl-peptidase) (X-prolyl-dipeptidyl aminopeptidase) (X-PDAP)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA2860",,"RefSeq.9606.33.NC_000001.CDS.202348852.202580560.fwd","Protein","protein phosphatase 1 regulatory subunit 12B isoform a","Primates",9606,"9606.33","Homo sapiens",,"PPP1R12B","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2829361;imex:IM-13779-3298",
"fig|198094.11.peg.99","Protein","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0102","rpoB","RefSeq.9606.33.NC_000005.CDS.139293981.139329395.fwd","Protein","matrin-3 isoform b","Primates",9606,"9606.33","Homo sapiens",,"MATR3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2829993;imex:IM-13779-3369",
"fig|198094.11.peg.5541","Protein","CTP synthase (EC 6.3.4.2)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5583","pyrG","RefSeq.9606.33.NC_000019.CDS.54451345.54460928.fwd","Protein","leukocyte receptor cluster member 8 isoform X5","Primates",9606,"9606.33","Homo sapiens",,"LENG8","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2830594;imex:IM-13779-3432",
"fig|198094.11.peg.1835","Protein","Chlorohydrolase/deaminase family protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1865",,"RefSeq.9606.33.NC_000017.CDS.74951570.74972656.rev","Protein","protein HID1","Primates",9606,"9606.33","Homo sapiens",,"HID1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2835598;imex:IM-13779-4009",
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000016.CDS.18809569.18926041.rev","Protein","serine/threonine-protein kinase SMG1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"SMG1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2814521;imex:IM-13779-1811",
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000017.CDS.64148969.64214217.rev","Protein","testis-expressed sequence 2 protein isoform X1","Primates",9606,"9606.33","Homo sapiens",,"TEX2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2820950;imex:IM-13779-2435",
"fig|198094.11.peg.4177","Protein","Polyphosphate kinase (EC 2.7.4.1)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4208","ppk","RefSeq.9606.33.NC_000008.CDS.108443659.108486598.fwd","Protein","ER membrane protein complex subunit 2","Primates",9606,"9606.33","Homo sapiens",,"EMC2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2810645;imex:IM-13779-1462",
"fig|198094.11.peg.5323","Protein","Enolase (EC 4.2.1.11)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5364","eno","RefSeq.9606.33.NC_000019.CDS.35826514.35851837.rev","Protein","nephrin precursor","Primates",9606,"9606.33","Homo sapiens",,"NPHS1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2828620;imex:IM-13779-3215",
"fig|198094.11.peg.4372","Protein","Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4404","xseA","RefSeq.9606.33.NC_000017.CDS.31863359.31901627.rev","Protein","U3 small nucleolar RNA-associated protein 6 homolog","Primates",9606,"9606.33","Homo sapiens",,"UTP6","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2819590;imex:IM-13779-2291",
"fig|198094.11.peg.4952","Protein","Leucyl-tRNA synthetase (EC 6.1.1.4)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4991","leuS","RefSeq.9606.33.NC_000008.CDS.122951511.122954024.fwd","Protein","zinc fingers and homeoboxes protein 2 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"ZHX2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2813710;imex:IM-13779-1740",
"fig|198094.11.peg.5324","Protein","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5365","gpmA","RefSeq.9606.33.NC_000023.CDS.12976262.12976811.fwd","Protein","thymosin beta-4","Primates",9606,"9606.33","Homo sapiens",,"TMSB4X","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2819754;imex:IM-13779-2311",
"fig|198094.11.peg.1157","Protein","ClpB protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1177","clpB","RefSeq.9606.33.NC_000008.CDS.115414023.115667883.rev","Protein","zinc finger transcription factor Trps1 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"TRPS1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2820069;imex:IM-13779-2341",
"fig|198094.11.peg.5324","Protein","2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5365","gpmA","RefSeq.9606.33.NC_000005.CDS.134525695.134579317.fwd","Protein","protein Jade-2 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"JADE2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2831300;imex:IM-13779-3520",
"fig|198094.11.peg.1823","Protein","Dihydroxy-acid dehydratase (EC 4.2.1.9)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1853","ilvD","RefSeq.9606.33.NC_000006.CDS.29723464.29738150.fwd","Protein","HLA class I histocompatibility antigen, alpha chain F isoform X2","Primates",9606,"9606.33","Homo sapiens",,"HLA-F","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2811149;imex:IM-13779-1507",
"fig|198094.11.peg.80","Protein","DNA integrity scanning protein DisA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0082",,"RefSeq.9606.33.NC_000002.CDS.70087744.70088814.fwd","Protein","poly(rC)-binding protein 1","Primates",9606,"9606.33","Homo sapiens",,"PCBP1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2828010;imex:IM-13779-3144",
"fig|198094.11.peg.4278","Protein","Phosphopentomutase (EC 5.4.2.7)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4309","deoB","RefSeq.9606.33.NC_000007.CDS.99560560.99573584.fwd","Protein","zinc finger protein 655 isoform a","Primates",9606,"9606.33","Homo sapiens",,"ZNF655","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2813643;imex:IM-13779-1733",
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000004.CDS.75950750.75990841.rev","Protein","protein SDA1 homolog isoform 1","Primates",9606,"9606.33","Homo sapiens",,"SDAD1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2823056;imex:IM-13779-2649",
"fig|198094.11.peg.4177","Protein","Polyphosphate kinase (EC 2.7.4.1)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4208","ppk","RefSeq.9606.33.NC_000011.CDS.18480546.18526816.rev","Protein","tumor susceptibility gene 101 protein","Primates",9606,"9606.33","Homo sapiens",,"TSG101","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2820037;imex:IM-13779-2335",
"fig|198094.11.peg.2435","Protein","Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA2465","anmK","RefSeq.9606.33.NC_000002.CDS.36356293.36548701.fwd","Protein","cysteine-rich motor neuron 1 protein isoform X5","Primates",9606,"9606.33","Homo sapiens",,"CRIM1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2835543;imex:IM-13779-4001",
"fig|198094.11.peg.1490","Protein","Cytidylate kinase (EC 2.7.4.25)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1518","cmk","RefSeq.9606.33.NC_000006.CDS.73517810.73520026.rev","Protein","elongation factor 1-alpha 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"EEF1A1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2834744;imex:IM-13779-3914",
"fig|198094.11.peg.879","Protein","Protein translocase subunit SecA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0882","secA-1","RefSeq.9606.33.NC_000001.CDS.155659657.155688976.rev","Protein","YY1-associated protein 1 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"YY1AP1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2818909;imex:IM-13779-2224",
"fig|198094.11.peg.4187","Protein","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4218","metE","RefSeq.9606.33.NC_000021.CDS.44886368.44910782.rev","Protein","integrin beta-2 isoform 1 precursor","Primates",9606,"9606.33","Homo sapiens",,"ITGB2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2831411;imex:IM-13779-3530",
"fig|198094.11.peg.4305","Protein","Biotin synthase (EC 2.8.1.6)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4336","bioB","RefSeq.9606.33.NC_000001.CDS.207496253.207639428.fwd","Protein","complement receptor type 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"CR1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2835570;imex:IM-13779-4002",
"fig|198094.11.peg.3920","Protein","Translation initiation factor 2","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA3950","infB","RefSeq.9606.33.NC_000012.CDS.95659086.95790309.rev","Protein","netrin-4 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"NTN4","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2829109;imex:IM-13779-3269",
"fig|198094.11.peg.1835","Protein","Chlorohydrolase/deaminase family protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1865",,"RefSeq.9606.33.NC_000019.CDS.7927187.7943651.rev","Protein","mitochondrial import inner membrane translocase subunit TIM44","Primates",9606,"9606.33","Homo sapiens",,"TIMM44","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2820814;imex:IM-13779-2421",
"fig|198094.11.peg.5081","Protein","Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5120","glgA","RefSeq.9606.33.NC_000005.CDS.5422916.5474676.fwd","Protein","little elongation complex subunit 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"ICE1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2816543;imex:IM-13779-1991",
"fig|198094.11.peg.1502","Protein","Stage IV sporulation protein A","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1530","spoIVA","RefSeq.9606.33.NC_000014.CDS.55137374.55145394.fwd","Protein","galectin-3 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"LGALS3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2812953;imex:IM-13779-1669",
"fig|198094.11.peg.99","Protein","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0102","rpoB","RefSeq.9606.33.NC_000012.CDS.51238908.51246144.fwd","Protein","DAZ-associated protein 2 isoform f","Primates",9606,"9606.33","Homo sapiens",,"DAZAP2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2835227;imex:IM-13779-3966",
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000006.CDS.41565761.41598936.fwd","Protein","forkhead box protein P4 isoform X6","Primates",9606,"9606.33","Homo sapiens",,"FOXP4","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2825125;imex:IM-13779-2851",
"fig|198094.11.peg.1157","Protein","ClpB protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1177","clpB","RefSeq.9606.33.NC_000006.CDS.73517810.73520026.rev","Protein","elongation factor 1-alpha 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"EEF1A1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2834782;imex:IM-13779-3911",
"fig|198094.11.peg.4512","Protein","Translation elongation factor LepA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4544","lepA","RefSeq.9606.33.NC_000016.CDS.30086225.30091193.rev","Protein","T-box transcription factor TBX6 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"TBX6","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2824325;imex:IM-13779-2779",
"fig|198094.11.peg.1157","Protein","ClpB protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1177","clpB","RefSeq.9606.33.NC_000002.CDS.130339120.130342229.rev","Protein","coiled-coil domain-containing protein 115 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"CCDC115","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2810330;imex:IM-13779-1436",
"fig|198094.11.peg.3842","Protein","Tripeptide aminopeptidase (EC 3.4.11.4)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA3872","pepT-1","RefSeq.9606.33.NC_000001.CDS.154272724.154275701.fwd","Protein","HCLS1-associated protein X-1 isoform b","Primates",9606,"9606.33","Homo sapiens",,"HAX1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2832648;imex:IM-13779-3675",
"fig|198094.11.peg.1835","Protein","Chlorohydrolase/deaminase family protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1865",,"RefSeq.9606.33.NC_000003.CDS.49271180.49276872.rev","Protein","uncharacterized protein C3orf62","Primates",9606,"9606.33","Homo sapiens",,"C3orf62","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2837042;imex:IM-13779-4173",
"fig|198094.11.peg.1058","Protein","Coproporphyrin ferrochelatase (EC 4.99.1.-)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1071","hemH","RefSeq.9606.33.NC_000006.CDS.43582320.43614557.fwd","Protein","DNA polymerase eta isoform 1","Primates",9606,"9606.33","Homo sapiens",,"POLH","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2827277;imex:IM-13779-3064",
"fig|198094.11.peg.5084","Protein","1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5123","glgB","RefSeq.9606.33.NC_000003.CDS.52495414.52524356.fwd","Protein","stabilin-1 isoform X3","Primates",9606,"9606.33","Homo sapiens",,"STAB1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2821972;imex:IM-13779-2537",
"fig|198094.11.peg.5364","Protein","Putative membrane protein YeiH","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5405",,"RefSeq.9606.33.NC_000006.CDS.52791858.52799267.rev","Protein","glutathione S-transferase A1","Primates",9606,"9606.33","Homo sapiens",,"GSTA1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2832833;imex:IM-13779-3694",
"fig|198094.11.peg.5541","Protein","CTP synthase (EC 6.3.4.2)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5583","pyrG","RefSeq.9606.33.NC_000004.CDS.40425904.40438893.rev","Protein","RNA-binding protein 47 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"RBM47","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2823847;imex:IM-13779-2728",
"fig|198094.11.peg.3077","Protein","Lactam utilization protein LamB","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA3095",,"RefSeq.9606.33.NC_000004.CDS.102510933.102616594.fwd","Protein","nuclear factor NF-kappa-B p105 subunit isoform X2","Primates",9606,"9606.33","Homo sapiens",,"NFKB1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2828780;imex:IM-13779-3232",
"fig|198094.11.peg.99","Protein","DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA0102","rpoB","RefSeq.9606.33.NC_000017.CDS.50135331.50150513.rev","Protein","neurabin-2","Primates",9606,"9606.33","Homo sapiens",,"PPP1R9B","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2829137;imex:IM-13779-3270",
"fig|198094.11.peg.4861","Protein","Septation ring formation regulator EzrA","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4901","ezrA","RefSeq.9606.33.NC_000013.CDS.45120656.45283561.fwd","Protein","general transcription factor IIF subunit 2","Primates",9606,"9606.33","Homo sapiens",,"GTF2F2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2821467;imex:IM-13779-2484",
"fig|198094.11.peg.4763","Protein","Asparaginyl-tRNA synthetase (EC 6.1.1.22)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4802","asnC","RefSeq.9606.33.NC_000011.CDS.45922883.45928924.fwd","Protein","glycosyltransferase-like protein LARGE2 isoform X5","Primates",9606,"9606.33","Homo sapiens",,"GYLTL1B","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2839182;imex:IM-13779-4417",
"fig|198094.11.peg.1835","Protein","Chlorohydrolase/deaminase family protein","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA1865",,"RefSeq.9606.33.NC_000011.CDS.66332276.66336675.rev","Protein","ras and Rab interactor 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"RIN1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2823605;imex:IM-13779-2705",
"fig|198094.11.peg.5541","Protein","CTP synthase (EC 6.3.4.2)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5583","pyrG","RefSeq.9606.33.NC_000002.CDS.239053097.239352699.rev","Protein","histone deacetylase 4 isoform X6","Primates",9606,"9606.33","Homo sapiens",,"HDAC4","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2832565;imex:IM-13779-3667",
"fig|198094.11.peg.3842","Protein","Tripeptide aminopeptidase (EC 3.4.11.4)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA3872","pepT-1","RefSeq.9606.33.NC_000011.CDS.124767176.124800380.rev","Protein","myb/SANT-like DNA-binding domain-containing protein 2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"MSANTD2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2836217;imex:IM-13779-4080",
"fig|198094.11.peg.4658","Protein","Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA4693","hemL-2","RefSeq.9606.33.NC_000017.CDS.41867810.41919014.rev","Protein","ATP-citrate synthase isoform 3","Primates",9606,"9606.33","Homo sapiens",,"ACLY","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2838825;imex:IM-13779-4382",
"fig|198094.11.peg.3682","Protein","Urocanate hydratase (EC 4.2.1.49)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA3711","hutU","RefSeq.9606.33.NC_000010.CDS.72062760.72088328.rev","Protein","testican-2 isoform 2 precursor","Primates",9606,"9606.33","Homo sapiens",,"SPOCK2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2814150;imex:IM-13779-1781",
"fig|198094.11.peg.5532","Protein","Thymidine kinase (EC 2.7.1.21)","Bacteria",198094,"198094.11","Bacillus anthracis str. Ames","BA5573","tdk","RefSeq.9606.33.NC_000003.CDS.52495414.52524356.fwd","Protein","stabilin-1 isoform X3","Primates",9606,"9606.33","Homo sapiens",,"STAB1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2821959;imex:IM-13779-2539",
