Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
fig|214092.21.peg.2401,Protein,"Glutamyl-tRNA reductase (EC 1.2.1.70)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2016,hemA,RefSeq.9606.33.NC_000008.CDS.52623671.52685469.rev,Protein,"RB1-inducible coiled-coil protein 1 isoform X2",Primates,9606,9606.33,Homo sapiens,,RB1CC1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2856563,imex:IM-13779-6123",
fig|214092.21.peg.2341,Protein,"Succinylglutamic semialdehyde dehydrogenase (EC 1.2.1.71)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1964,astD,RefSeq.9606.33.NC_000017.CDS.64499923.64506119.rev,Protein,"probable ATP-dependent RNA helicase DDX5 isoform X1",Primates,9606,9606.33,Homo sapiens,,DDX5,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2871647,imex:IM-13779-7835",
fig|214092.21.peg.3859,Protein,"Inactive (p)ppGpp 3'-pyrophosphohydrolase domain / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase I",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3380,relA,RefSeq.9606.33.NC_000002.CDS.151270693.151282948.rev,Protein,"N-myc-interactor isoform X1",Primates,9606,9606.33,Homo sapiens,,NMI,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2862685,imex:IM-13779-6786",
fig|214092.21.peg.1284,Protein,"putative membrane protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0998,,RefSeq.9606.33.NC_000003.CDS.65330853.66038308.rev,Protein,"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1 isoform X20",Primates,9606,9606.33,Homo sapiens,,MAGI1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2840857,imex:IM-13779-4544",
fig|214092.21.peg.4496,Protein,"Two-component system sensor protein Z5692",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3965,,RefSeq.9606.33.NC_000023.CDS.48974193.49002229.rev,Protein,"GRIP1-associated protein 1 isoform X1",Primates,9606,9606.33,Homo sapiens,,GRIPAP1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2868652,imex:IM-13779-7484",
fig|214092.21.peg.3096,Protein,"Nickel transport ATP-binding protein nikD2 (TC 3.A.1.5.3)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2663,,RefSeq.9606.33.NC_000007.CDS.112206717.112342729.fwd,Protein,"zinc finger protein 277",Primates,9606,9606.33,Homo sapiens,,ZNF277,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2849290,imex:IM-13779-5342",
fig|214092.21.peg.1644,Protein,"Uncharacterized sensory transduction regulator YbjN",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1330,,RefSeq.9606.33.NC_000017.CDS.4945900.4948394.rev,Protein,"profilin-1",Primates,9606,9606.33,Homo sapiens,,PFN1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2860655,imex:IM-13779-6544",
fig|214092.21.peg.140,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPMT1.23c,,RefSeq.9606.33.NC_000002.CDS.25234279.25313984.rev,Protein,"DNA (cytosine-5)-methyltransferase 3A isoform X1",Primates,9606,9606.33,Homo sapiens,,DNMT3A,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2871427,imex:IM-13779-7808",
fig|214092.21.peg.3812,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3339,,RefSeq.9606.33.NC_000020.CDS.47622248.47653417.fwd,Protein,"nuclear receptor coactivator 3 isoform b",Primates,9606,9606.33,Homo sapiens,,NCOA3,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2846600,imex:IM-13779-5076",
fig|214092.21.peg.4021,Protein,"UPF0053 inner membrane protein YtfL",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3526,,RefSeq.9606.33.NC_000016.CDS.74452056.74607094.rev,Protein,"Golgi apparatus protein 1 isoform 1 precursor",Primates,9606,9606.33,Homo sapiens,,GLG1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2868561,imex:IM-13779-7471",
fig|214092.21.peg.4425,Protein,"Dihydroxy-acid dehydratase (EC 4.2.1.9)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3897,ilvD,RefSeq.9606.33.NC_000001.CDS.155659657.155688976.rev,Protein,"YY1-associated protein 1 isoform X2",Primates,9606,9606.33,Homo sapiens,,YY1AP1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2843832,imex:IM-13779-4809",
fig|214092.21.peg.3805,Protein,"Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease component 1",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3332,,RefSeq.9606.33.NC_000009.CDS.93124908.93134217.rev,Protein,"ninjurin-1",Primates,9606,9606.33,Homo sapiens,,NINJ1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2857745,imex:IM-13779-6240",
fig|214092.21.peg.2852,Protein,"Manganese ABC transporter, inner membrane permease protein SitC",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2441,yfeC,RefSeq.9606.33.NC_000010.CDS.99732349.99755739.fwd,Protein,"copper homeostasis protein cutC homolog",Primates,9606,9606.33,Homo sapiens,,CUTC,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2872041,imex:IM-13779-7878",
fig|214092.21.peg.3287,Protein,"Spermidine/putrescine import ABC transporter substrate-binding protein PotD (TC 3.A.1.11.1)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2843,,RefSeq.9606.33.NC_000012.CDS.6772853.6778390.fwd,Protein,"lymphocyte activation gene 3 protein isoform X1",Primates,9606,9606.33,Homo sapiens,,LAG3,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2865733,imex:IM-13779-7134",
fig|214092.21.peg.1228,Protein,"Glutaminase (EC 3.5.1.2)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0949,,RefSeq.9606.33.NC_000010.CDS.88935223.88948930.rev,Protein,"actin, aortic smooth muscle isoform X1",Primates,9606,9606.33,Homo sapiens,,ACTA2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2876495,imex:IM-13779-8412",
fig|214092.21.peg.2083,Protein,"Protein MtfA",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1732,,RefSeq.9606.33.NC_000014.CDS.69658593.69710979.fwd,Protein,"uncharacterized protein KIAA0247 isoform X1",Primates,9606,9606.33,Homo sapiens,,SUSD6,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2866217,imex:IM-13779-7190",
fig|214092.21.peg.1034,Protein,"Putative ABC iron siderophore transporter, fused permease and ATPase domains",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0771,,RefSeq.9606.33.NC_000008.CDS.143559336.143562904.fwd,Protein,"gasdermin-D",Primates,9606,9606.33,Homo sapiens,,GSDMD,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2868575,imex:IM-13779-7473",
fig|214092.21.peg.2533,Protein,"D-amino acid dehydrogenase (EC 1.4.99.1)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2147,dadA,RefSeq.9606.33.NC_000022.CDS.50275704.50301462.rev,Protein,"plexin-B2 isoform X2",Primates,9606,9606.33,Homo sapiens,,PLXNB2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2861045,imex:IM-13779-6587",
fig|214092.21.peg.3054,Protein,"Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO2623,asnB,RefSeq.9606.33.NC_000005.CDS.181236977.181243800.rev,Protein,"guanine nucleotide-binding protein subunit beta-2-like 1",Primates,9606,9606.33,Homo sapiens,,GNB2L1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2869184,imex:IM-13779-7546",
fig|214092.21.peg.4603,Protein,"Methyl-accepting chemotaxis sensor/transducer protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO4062,cheM,RefSeq.9606.33.NC_000004.CDS.7060862.7068032.rev,Protein,"grpE protein homolog 1, mitochondrial precursor",Primates,9606,9606.33,Homo sapiens,,GRPEL1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2868596,imex:IM-13779-7476",
fig|214092.21.peg.1184,Protein,"Xaa-Pro aminopeptidase (EC 3.4.11.9)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0910,pepP,RefSeq.9606.33.NC_000007.CDS.106091805.106112529.rev,Protein,"synaptophysin-like protein 1 isoform a",Primates,9606,9606.33,Homo sapiens,,SYPL1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2853420,imex:IM-13779-5781",
fig|214092.21.peg.4569,Protein,"Xylose activator XylR (AraC family)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO4034,,RefSeq.9606.33.NC_000014.CDS.55137374.55145394.fwd,Protein,"galectin-3 isoform 2",Primates,9606,9606.33,Homo sapiens,,LGALS3,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2865504,imex:IM-13779-7111",
fig|214092.21.peg.752,Protein,"Uncharacterized protein ImpC",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0501,,RefSeq.9606.33.NC_000015.CDS.72199650.72230987.rev,Protein,"pyruvate kinase PKM isoform c",Primates,9606,9606.33,Homo sapiens,,PKM,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2846922,imex:IM-13779-5105",
fig|214092.21.peg.783,Protein,"3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0530,leuD,RefSeq.9606.33.NC_000014.CDS.24136263.24138816.fwd,Protein,"proteasome activator complex subunit 1 isoform 4",Primates,9606,9606.33,Homo sapiens,,PSME1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2860368,imex:IM-13779-6507",
fig|214092.21.peg.169,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPMT1.46c,,RefSeq.9606.33.NC_000019.CDS.32408254.32482240.fwd,Protein,"probable C-mannosyltransferase DPY19L3 isoform X1",Primates,9606,9606.33,Homo sapiens,,DPY19L3,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2871928,imex:IM-13779-7871",
fig|214092.21.peg.3755,Protein,"Transcriptional regulatory protein YehT",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3287,,RefSeq.9606.33.NC_000001.CDS.153358284.153360838.fwd,Protein,"protein S100-A9",Primates,9606,9606.33,Homo sapiens,,S100A9,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2855625,imex:IM-13779-6025",
fig|214092.21.peg.2123,Protein,"2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO1766,hpaH,RefSeq.9606.33.NC_000010.CDS.73746833.73771095.fwd,Protein,"protein transport protein Sec24C",Primates,9606,9606.33,Homo sapiens,,SEC24C,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2855391,imex:IM-13779-6008",
fig|214092.21.peg.4655,Protein,"Polymer-forming bactofilin",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO4112,,RefSeq.9606.33.NC_000016.CDS.1314031.1324793.fwd,Protein,"SUMO-conjugating enzyme UBC9",Primates,9606,9606.33,Homo sapiens,,UBE2I,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2840146,imex:IM-13779-4489",
fig|214092.21.peg.1026,Protein,"VgrG protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0764,,RefSeq.9606.33.NC_000003.CDS.108328304.108377278.fwd,Protein,"HERV-H LTR-associating protein 2 isoform c",Primates,9606,9606.33,Homo sapiens,,HHLA2,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2867879,imex:IM-13779-7391",
fig|214092.21.peg.168,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPMT1.45c,,RefSeq.9606.33.NC_000023.CDS.153504632.153508445.fwd,Protein,"biglycan preproprotein",Primates,9606,9606.33,Homo sapiens,,BGN,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2861468,imex:IM-13779-6642",
fig|214092.21.peg.3776,Protein,"Regulatory protein RecX",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3306,recX,RefSeq.9606.33.NC_000017.CDS.63787050.63818398.fwd,Protein,"ATP-dependent RNA helicase DDX42 isoform X1",Primates,9606,9606.33,Homo sapiens,,DDX42,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2871668,imex:IM-13779-7836",
fig|214092.21.peg.3812,Protein,"hypothetical protein",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO3339,,RefSeq.9606.33.NC_000002.CDS.218275475.218282141.rev,Protein,"protein lifeguard 3 isoform X1",Primates,9606,9606.33,Homo sapiens,,TMBIM1,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2844231,imex:IM-13779-4846",
fig|214092.21.peg.598,Protein,"Miniconductance mechanosensitive channel MscM",Bacteria,214092,214092.21,Yersinia pestis CO92,YPO0363,,RefSeq.9606.33.NC_000002.CDS.86785920.86790825.rev,Protein,"T-cell surface glycoprotein CD8 alpha chain isoform 1 precursor",Primates,9606,9606.33,Homo sapiens,,CD8A,HPI,"physical association","two hybrid pooling approach","experimental","20711500,13779","intact","intact:EBI-2873713,imex:IM-13779-8072",
