Interactor A ID,Interactor A Type,Interactor A Desc,Domain A,Taxon ID A,Genome ID A,Genome Name A,RefSeq Locus Tag A,gene A,Interactor B ID,Interactor B Type,Interactor B Desc,Domain B,Taxon ID B,Genome ID B,Genome Name B,RefSeq Locus Tag B,gene B,Category,Interaction Type,Detection Method,Evidence,PMID,Source DB,Source ID,Score
"RefSeq.177416.18.NC_006570.CDS.1431224.1433260.rev","Protein","DNA ligase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1387c","ligN","RefSeq.9606.33.NC_000020.CDS.47658362.47757363.rev","Protein","extracellular sulfatase Sulf-2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"SULF2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800760;imex:IM-13779-445",
"RefSeq.177416.18.NC_006570.CDS.1802117.1805989.rev","Protein","phosphoribosylformylglycinamidine synthase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1720c","purL","RefSeq.9606.33.NC_000019.CDS.3053819.3062927.rev","Protein","amino-terminal enhancer of split isoform a","Primates",9606,"9606.33","Homo sapiens",,"AES","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2809169;imex:IM-13779-1340",
"RefSeq.177416.18.NC_006570.CDS.1243635.1246292.fwd","Protein","ribonuclease E","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1227","rne","RefSeq.9606.33.NC_000009.CDS.105442246.105546483.fwd","Protein","FSD1-like protein isoform X4","Primates",9606,"9606.33","Homo sapiens",,"FSD1L","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2806717;imex:IM-13779-1066",
"RefSeq.177416.18.NC_006570.CDS.1095850.1097865.rev","Protein","ATP-dependent DNA helicase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1087c","rep","RefSeq.9606.33.NC_000001.CDS.145671244.145688021.rev","Protein","Na(+)/H(+) exchange regulatory cofactor NHE-RF3 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"PDZK1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798524;imex:IM-13779-223",
"RefSeq.177416.18.NC_006570.CDS.964146.965471.fwd","Protein","ATP-dependent RNA helicase RhlE","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0952","rhlE","RefSeq.9606.33.NC_000006.CDS.109368279.109382378.rev","Protein","sialomucin core protein 24 isoform 4 precursor","Primates",9606,"9606.33","Homo sapiens",,"CD164","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804718;imex:IM-13779-842",
"RefSeq.177416.18.NC_006570.CDS.1183701.1185449.fwd","Protein","lipoprotein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1170",,"RefSeq.9606.33.NC_000004.CDS.139301778.139388084.fwd","Protein","N-alpha-acetyltransferase 15, NatA auxiliary subunit isoform X1","Primates",9606,"9606.33","Homo sapiens",,"NAA15","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804548;imex:IM-13779-819",
"RefSeq.177416.18.NC_006570.CDS.1122309.1123187.rev","Protein","RNA polymerase factor sigma-32","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1112c","rpoH","RefSeq.9606.33.NC_000015.CDS.44711547.44716342.fwd","Protein","beta-2-microglobulin precursor","Primates",9606,"9606.33","Homo sapiens",,"B2M","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2808611;imex:IM-13779-1277",
"fig|177416.18.peg.24","Protein","Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0021","gatB","RefSeq.9606.33.NC_000020.CDS.20036195.20056014.rev","Protein","crooked neck-like protein 1 isoform a","Primates",9606,"9606.33","Homo sapiens",,"CRNKL1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807608;imex:IM-13779-1165",
"fig|177416.18.peg.130","Protein","Peptide chain release factor 3","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0118","prfC","RefSeq.9606.33.NC_000018.CDS.23503619.23531704.fwd","Protein","uncharacterized protein C18orf8 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"C18orf8","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804854;imex:IM-13779-855",
"RefSeq.177416.18.NC_006570.CDS.335152.337266.fwd","Protein","elongation factor G","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0323","fusA","RefSeq.9606.33.NC_000002.CDS.25742029.25878222.rev","Protein","putative Polycomb group protein ASXL2","Primates",9606,"9606.33","Homo sapiens",,"ASXL2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799260;imex:IM-13779-295",
"RefSeq.177416.18.NC_006570.CDS.1841688.1843784.fwd","Protein","phosphate acetyltransferase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1754","pta","RefSeq.9606.33.NC_000015.CDS.48207720.48303099.fwd","Protein","solute carrier family 12 member 1 isoform X3","Primates",9606,"9606.33","Homo sapiens",,"SLC12A1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2801460;imex:IM-13779-522",
"RefSeq.177416.18.NC_006570.CDS.658005.659660.fwd","Protein","dihydroxy-acid dehydratase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0640","ilvD","RefSeq.9606.33.NC_000001.CDS.31576399.31586979.fwd","Protein","tubulointerstitial nephritis antigen-like isoform X3","Primates",9606,"9606.33","Homo sapiens",,"TINAGL1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800401;imex:IM-13779-407",
"RefSeq.177416.18.NC_006570.CDS.1814786.1816213.fwd","Protein","Na+/H+ antiporter","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1728","nhaD","RefSeq.9606.33.NC_000007.CDS.150569902.150573060.fwd","Protein","GTPase IMAP family member 4","Primates",9606,"9606.33","Homo sapiens",,"GIMAP4","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798888;imex:IM-13779-260",
"RefSeq.177416.18.NC_006570.CDS.1471194.1471814.fwd","Protein","oxidoreductase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1422",,"RefSeq.9606.33.NC_000012.CDS.76048429.76074255.rev","Protein","nucleosome assembly protein 1-like 1 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"NAP1L1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2797286;imex:IM-13779-112",
"RefSeq.177416.18.NC_006570.CDS.1577491.1581759.rev","Protein","ATp-dependent helicase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1524c","hrpA","RefSeq.9606.33.NC_000003.CDS.150409351.150458636.fwd","Protein","TSC22 domain family protein 2 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"TSC22D2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2797755;imex:IM-13779-156",
"RefSeq.177416.18.NC_006570.CDS.714616.715533.fwd","Protein","S-adenosyl-methyltransferase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0695","mraW","RefSeq.9606.33.NC_000003.CDS.16316828.16493869.rev","Protein","raftlin isoform X1","Primates",9606,"9606.33","Homo sapiens",,"RFTN1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2796661;imex:IM-13779-54",
"RefSeq.177416.18.NC_006570.CDS.1660712.1662169.fwd","Protein","hypothetical protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1597",,"RefSeq.9606.33.NC_000004.CDS.86948534.87135701.fwd","Protein","AF4/FMR2 family member 1 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"AFF1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2809155;imex:IM-13779-1339",
"RefSeq.177416.18.NC_006570.CDS.652971.654038.fwd","Protein","SPFH domain-containing protein/band 7 family protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0633","hflK","RefSeq.9606.33.NC_000003.CDS.16316828.16493869.rev","Protein","raftlin isoform X1","Primates",9606,"9606.33","Homo sapiens",,"RFTN1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798016;imex:IM-13779-182",
"RefSeq.177416.18.NC_006570.CDS.415359.416726.fwd","Protein","glycine dehydrogenase subunit 1","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0409","gcvP1","RefSeq.9606.33.NC_000005.CDS.181256809.181260813.rev","Protein","tripartite motif-containing protein 52 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"TRIM52","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2796928;imex:IM-13779-80",
"RefSeq.177416.18.NC_006570.CDS.1105418.1108015.rev","Protein","alanyl-tRNA synthetase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1096c","alaS","RefSeq.9606.33.NC_000010.CDS.87151355.87190683.fwd","Protein","protein FAM35A isoform X7","Primates",9606,"9606.33","Homo sapiens",,"FAM35A","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2806945;imex:IM-13779-1084",
"RefSeq.177416.18.NC_006570.CDS.1577491.1581759.rev","Protein","ATp-dependent helicase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1524c","hrpA","RefSeq.9606.33.NC_000011.CDS.60919694.60922165.fwd","Protein","transmembrane protein 109 precursor","Primates",9606,"9606.33","Homo sapiens",,"TMEM109","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800369;imex:IM-13779-404",
"RefSeq.177416.18.NC_006570.CDS.1802117.1805989.rev","Protein","phosphoribosylformylglycinamidine synthase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1720c","purL","RefSeq.9606.33.NC_000016.CDS.2520459.2530759.fwd","Protein","putative N-acetylglucosamine-6-phosphate deacetylase isoform 2","Primates",9606,"9606.33","Homo sapiens",,"AMDHD2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798669;imex:IM-13779-239",
"RefSeq.177416.18.NC_006570.CDS.1185439.1186905.rev","Protein","DNA-methyltransferase, type I restriction-modification enzyme subunit M","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1171c","hsdM","RefSeq.9606.33.NC_000014.CDS.54567917.54788944.fwd","Protein","protein Smaug homolog 1 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"SAMD4A","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2801386;imex:IM-13779-516",
"RefSeq.177416.18.NC_006570.CDS.553229.554461.rev","Protein","bifunctional gluaredoxin/ribonucleoside-diphosphate reductase subunit beta","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0532c","nrdB","RefSeq.9606.33.NC_000005.CDS.32355760.32444658.rev","Protein","zinc finger RNA-binding protein","Primates",9606,"9606.33","Homo sapiens",,"ZFR","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799609;imex:IM-13779-324",
"RefSeq.177416.18.NC_006570.CDS.1218072.1219520.rev","Protein","exodeoxyribonuclease I","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1200c","sbcB","RefSeq.9606.33.NC_000016.CDS.69330839.69339552.rev","Protein","conserved oligomeric Golgi complex subunit 8","Primates",9606,"9606.33","Homo sapiens",,"COG8","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807739;imex:IM-13779-1179",
"fig|177416.18.peg.153","Protein","Translation elongation factor Tu","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0137","tufA","RefSeq.9606.33.NC_000017.CDS.39980971.39997581.fwd","Protein","26S proteasome non-ATPase regulatory subunit 3","Primates",9606,"9606.33","Homo sapiens",,"PSMD3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803283;imex:IM-13779-687",
"fig|177416.18.peg.208","Protein","Cell division protein FtsZ (EC 3.4.24.-)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0188","ftsZ","RefSeq.9606.33.NC_000011.CDS.65128382.65133601.rev","Protein","E3 ubiquitin-protein ligase synoviolin isoform X1","Primates",9606,"9606.33","Homo sapiens",,"SYVN1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2796987;imex:IM-13779-83",
"fig|177416.18.peg.93","Protein","Aconitate hydratase (EC 4.2.1.3)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0087","acnA","RefSeq.9606.33.NC_000001.CDS.157827620.157841701.rev","Protein","CD5 antigen-like isoform X1","Primates",9606,"9606.33","Homo sapiens",,"CD5L","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2808189;imex:IM-13779-1234",
"RefSeq.177416.18.NC_006570.CDS.727628.728998.fwd","Protein","phosphopyruvate hydratase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0709","eno","RefSeq.9606.33.NC_000014.CDS.58244921.58271895.fwd","Protein","proteasome subunit alpha type-3 isoform 2","Primates",9606,"9606.33","Homo sapiens",,"PSMA3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803317;imex:IM-13779-690",
"RefSeq.177416.18.NC_006570.CDS.422414.424336.rev","Protein","glycogen branching enzyme","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0413c","glgB","RefSeq.9606.33.NC_000002.CDS.8730720.8827093.rev","Protein","kinase D-interacting substrate of 220 kDa","Primates",9606,"9606.33","Homo sapiens",,"KIDINS220","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798341;imex:IM-13779-205",
"RefSeq.177416.18.NC_006570.CDS.1219654.1220376.rev","Protein","oxidoreductase, short-chain dehydrogenase family protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1201c",,"RefSeq.9606.33.NC_000017.CDS.3663748.3668526.rev","Protein","tax1-binding protein 3 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"TAX1BP3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800042;imex:IM-13779-372",
"RefSeq.177416.18.NC_006570.CDS.1444610.1447849.rev","Protein","exodeoxyribonuclease V gamma chain","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1397c","recC","RefSeq.9606.33.NC_000012.CDS.103930516.103947662.fwd","Protein","endoplasmin precursor","Primates",9606,"9606.33","Homo sapiens",,"HSP90B1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807027;imex:IM-13779-1096",
"RefSeq.177416.18.NC_006570.CDS.1809580.1811109.rev","Protein","outer membrane protein tolC precursor","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1724c","tolC","RefSeq.9606.33.NC_000012.CDS.105174314.105236012.rev","Protein","DCC-interacting protein 13-beta isoform 2","Primates",9606,"9606.33","Homo sapiens",,"APPL2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799071;imex:IM-13779-276",
"RefSeq.177416.18.NC_006570.CDS.1589551.1592247.fwd","Protein","fusion product of 3-hydroxacyl-CoA dehydrogenase and acyl-CoA-binding protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1530","fadB/acbP","RefSeq.9606.33.NC_000002.CDS.108719607.108783901.fwd","Protein","E3 SUMO-protein ligase RanBP2 isoform X9","Primates",9606,"9606.33","Homo sapiens",,"RANBP2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2801802;imex:IM-13779-562",
"RefSeq.177416.18.NC_006570.CDS.938085.939380.fwd","Protein","glutamate-1-semialdehyde aminotransferase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0927","hemL","RefSeq.9606.33.NC_000012.CDS.57096572.57108278.rev","Protein","signal transducer and activator of transcription 6 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"STAT6","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800817;imex:IM-13779-455",
"RefSeq.177416.18.NC_006570.CDS.741201.743426.rev","Protein","peroxidase/catalase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0721c","katG","RefSeq.9606.33.NC_000019.CDS.4361600.4400368.rev","Protein","endophilin-A2 isoform 1","Primates",9606,"9606.33","Homo sapiens",,"SH3GL1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2801211;imex:IM-13779-494",
"RefSeq.177416.18.NC_006570.CDS.264050.266698.fwd","Protein","pyruvate phosphate dikinase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0250","ppdK","RefSeq.9606.33.NC_000001.CDS.86348750.86387027.rev","Protein","outer dense fiber protein 2-like isoform X2","Primates",9606,"9606.33","Homo sapiens",,"ODF2L","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2798574;imex:IM-13779-228",
"fig|177416.18.peg.232","Protein","Zinc ABC transporter, substrate-binding protein ZnuA","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0209c",,"RefSeq.9606.33.NC_000023.CDS.124022628.124100597.fwd","Protein","cohesin subunit SA-2 isoform X2","Primates",9606,"9606.33","Homo sapiens",,"STAG2","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2800856;imex:IM-13779-457",
"fig|177416.18.peg.182","Protein","Outer membrane beta-barrel assembly protein BamB","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0165c",,"RefSeq.9606.33.NC_000004.CDS.55435415.55482785.rev","Protein","circadian locomoter output cycles protein kaput isoform X1","Primates",9606,"9606.33","Homo sapiens",,"CLOCK","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799137;imex:IM-13779-280",
"RefSeq.177416.18.NC_006570.CDS.1421900.1422184.fwd","Protein","acyl carrier protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1376","acpP","RefSeq.9606.33.NC_000012.CDS.124012145.124012930.fwd","Protein","zinc finger protein 664","Primates",9606,"9606.33","Homo sapiens",,"ZNF664","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799443;imex:IM-13779-312",
"RefSeq.177416.18.NC_006570.CDS.312389.315148.fwd","Protein","valyl-tRNA synthetase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0299","valS","RefSeq.9606.33.NC_000021.CDS.43925268.43982392.fwd","Protein","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma isoform X5","Primates",9606,"9606.33","Homo sapiens",,"AGPAT3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803610;imex:IM-13779-718",
"RefSeq.177416.18.NC_006570.CDS.264050.266698.fwd","Protein","pyruvate phosphate dikinase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0250","ppdK","RefSeq.9606.33.NC_000004.CDS.169635929.169720065.fwd","Protein","H(+)/Cl(-) exchange transporter 3 isoform e","Primates",9606,"9606.33","Homo sapiens",,"CLCN3","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2807904;imex:IM-13779-1198",
"fig|177416.18.peg.83","Protein","Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0077","sucB","RefSeq.9606.33.NC_000011.CDS.57673091.57700031.fwd","Protein","palmitoyltransferase ZDHHC5 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"ZDHHC5","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2799623;imex:IM-13779-327",
"RefSeq.177416.18.NC_006570.CDS.974331.975443.rev","Protein","phospho-2-dehydro-3-deoxyheptonate aldolase","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT0963c","aroG","RefSeq.9606.33.NC_000012.CDS.57694162.57720909.fwd","Protein","protein OS-9 isoform 8 precursor","Primates",9606,"9606.33","Homo sapiens",,"OS9","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2804125;imex:IM-13779-771",
"RefSeq.177416.18.NC_006570.CDS.1368817.1370361.rev","Protein","sulfate permease family protein","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1339c",,"RefSeq.9606.33.NC_000003.CDS.146516045.146536552.rev","Protein","phospholipid scramblase 1 isoform X1","Primates",9606,"9606.33","Homo sapiens",,"PLSCR1","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803587;imex:IM-13779-717",
"RefSeq.177416.18.NC_006570.CDS.1218072.1219520.rev","Protein","exodeoxyribonuclease I","Bacteria",177416,"177416.18","Francisella tularensis subsp. tularensis SCHU S4","FTT1200c","sbcB","RefSeq.9606.33.NC_000008.CDS.43056347.43085282.fwd","Protein","protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha","Primates",9606,"9606.33","Homo sapiens",,"FNTA","HPI","physical association","two hybrid pooling approach","experimental","20711500;13779","intact","intact:EBI-2803795;imex:IM-13779-737",
